"lema";"n_sentits";"freq";"rank"
"el";5;4947;1
"de";26;3251;2
"que";14;3237;3
"a";20;3165;4
"i";7;2790;5
"ser";2;2432;6
"no";9;2048;7
"un";18;1993;8
"sí";4;1795;9
"haver";15;1684;10
"anar";32;1239;11
"per";33;942;12
"si";25;866;13
"dir";22;862;14
"hi";8;852;15
"fer";56;795;16
"ja";8;769;17
"estar";18;696;18
"tenir";14;691;19
"jo";2;682;20
"amb";4;675;21
"molt";10;671;22
"o";4;629;23
"ho";3;614;24
"però";4;612;25
"en";22;610;26
"més";12;607;27
"poder";32;606;28
"aquest";3;576;29
"això";9;561;30
"eh";3;560;31
"em";1;547;32
"saber";21;543;33
"al";1;540;34
"perquè";3;514;35
"bé";34;492;36
"tot";23;436;37
"del";1;422;38
"com";13;416;39
"veure";25;411;40
"voler";20;390;41
"doncs";4;368;42
"es";4;368;43
"mirar";24;365;44
"també";4;349;45
"valer";21;348;46
"què";6;341;47
"et";2;340;48
"arribar";14;303;49
"allà";8;295;50
"ah";1;267;51
"altre";16;261;52
"dia";51;255;53
"li";1;250;54
"tu";4;244;55
"ara";14;243;56
"algun";4;228;57
"cap";123;228;58
"vint";6;222;59
"real";4;213;60
"clar";30;212;61
"mica";7;212;62
"aquí";7;211;63
"quin";2;210;64
"passar";32;202;65
"llavors";2;200;66
"cosa";13;197;67
"acord";22;196;68
"tren";13;193;69
"sortir";15;190;70
"any";50;184;71
"cinc";7;183;72
"ens";3;183;73
"agradar";2;182;74
"així";16;182;75
"vuit";7;175;76
"nou";38;175;77
"universitat";6;171;78
"segon";12;166;79
"després";6;166;80
"els";1;158;81
"tres";8;158;82
"des";3;157;83
"primer";6;155;84
"mateix";11;154;85
"home";26;154;86
"tant";22;147;87
"dos";7;147;88
"informació";7;144;89
"illa";2;142;90
"agafar";22;141;91
"bo";32;138;92
"hora";24;138;93
"set";13;137;94
"pel";1;135;95
"seu";9;132;96
"quan";3;132;97
"fins";5;131;98
"on";4;128;99
"només";3;125;100
"parir";3;124;101
