_id,ind_word,resultat,ind_possibles
0,2430,CCCCC,[2430]
1,2430,MIMII,"[795, 1050, 1249, 1472, 1777, 2025]"
2,2430,MIICM,[]
3,2430,MIICI,"[633, 786, 861, 994, 1134, 1285, 2353]"
4,2430,MIIMC,[1826]
5,2430,MIIMM,"[373, 829, 1324, 1332, 1568, 1697, 1966, 2241, 2427]"
6,2430,MIIMI,"[50, 86, 353, 377, 486, 803, 838, 868, 919, 923, 924, 989, 1363, 1392, 1441, 1609, 1673, 1766, 1830, 1938, 1978, 2061, 2131, 2277, 2325, 2403]"
7,2430,MIIIC,[]
8,2430,MIIIM,"[36, 244, 246, 362, 414, 424, 433, 516, 682, 734, 776, 785, 1105, 1129, 1133, 1211, 1275, 1590, 1605, 1763, 1840, 1880, 2154]"
9,2430,MIIII,"[78, 96, 139, 149, 167, 189, 196, 217, 303, 312, 333, 428, 452, 466, 479, 496, 498, 503, 507, 525, 556, 564, 591, 620, 630, 667, 707, 761, 810, 824, 863, 880, 883, 947, 958, 974, 987, 1000, 1007, 1071, 1081, 1082, 1115, 1172, 1192, 1196, 1241, 1244, 1277, 1321, 1409, 1444, 1458, 1476, 1478, 1488, 1496, 1554, 1561, 1564, 1567, 1579, 1606, 1625, 1627, 1644, 1693, 1710, 1772, 1782, 1807, 1820, 1828, 1846, 1848, 1876, 1891, 1907, 1914, 1947, 1950, 1996, 2005, 2021, 2062, 2133, 2140, 2244, 2261, 2264, 2306, 2323, 2336, 2348, 2358, 2410]"
10,2430,ICCCC,[]
11,2430,ICCCM,[]
12,2430,ICCCI,"[1220, 2296, 2395]"
13,2430,ICCMC,[]
14,2430,ICCMM,[]
15,2430,ICCMI,[]
16,2430,ICCIC,[]
17,2430,ICCIM,[]
18,2430,ICCII,"[249, 736, 783, 858, 1099, 1126, 1457, 1557, 1776, 2382]"
19,2430,ICMCC,[]
20,2430,ICMCM,[]
21,2430,ICMCI,"[1370, 1897, 1953, 1999]"
22,2430,ICMMC,[]
23,2430,ICMMM,[2349]
24,2430,ICMMI,[2013]
25,2430,ICMIC,[]
26,2430,ICMIM,[2394]
27,2430,ICMII,"[190, 432, 543, 720, 741, 1078, 1547, 1575, 1631, 1634, 1911, 1969, 2015, 2106, 2197, 2369]"
28,2430,ICICC,[1529]
29,2430,MIICC,[]
30,2430,MIMIM,[2363]
31,2430,MMMMM,[]
32,2430,MIMIC,[]
33,2430,MMMIC,[]
34,2430,MMMIM,[]
35,2430,MMMII,[]
36,2430,MMICC,[]
37,2430,MMICM,[]
38,2430,MMICI,"[758, 1312]"
39,2430,MMIMC,[]
40,2430,MMIMM,[]
41,2430,MMIMI,[]
42,2430,MMIIC,[1826]
43,2430,MMIIM,"[373, 829, 1324, 1332, 1568, 1697, 1966, 2241, 2427]"
44,2430,MMIII,"[50, 86, 353, 377, 486, 803, 838, 868, 919, 923, 924, 989, 1363, 1392, 1441, 1609, 1673, 1766, 1830, 1938, 1978, 2061, 2131, 2277, 2325, 2403]"
45,2430,MICCC,[]
