_id,ind_word,resultat,ind_possibles
0,2373,CCCCC,[2373]
1,2373,MIMII,"[129, 182, 194, 261, 327, 811, 862, 958, 1052, 1139, 1158, 1193, 1225, 1552, 1571, 1646, 1687, 1741, 1782, 1831, 1876, 2043, 2283, 2293, 2327]"
2,2373,MIICM,"[2225, 2330]"
3,2373,MIICI,"[33, 294, 408, 450, 567, 609, 673, 679, 765, 786, 844, 1028, 1056, 1134, 1155, 1240, 1285, 1291, 1419, 1420, 1600, 1623, 1954, 2097, 2291, 2298, 2337, 2353, 2354]"
4,2373,MIIMC,"[1036, 1452, 2331]"
5,2373,MIIMM,"[127, 200, 203, 266, 442, 576, 687, 893, 989, 1037, 1194, 1233, 1246, 1805, 1842, 2008, 2085, 2284, 2292]"
6,2373,MIIMI,"[2, 5, 50, 68, 90, 93, 117, 179, 227, 231, 270, 335, 377, 462, 471, 529, 538, 561, 586, 598, 627, 660, 690, 730, 736, 740, 769, 803, 812, 849, 879, 986, 1101, 1108, 1237, 1324, 1332, 1380, 1457, 1557, 1560, 1583, 1711, 1788, 1810, 1830, 1948, 1964, 1966, 1978, 1997, 2034, 2042, 2046, 2059, 2106, 2124, 2156, 2184, 2190, 2221, 2230, 2235, 2239, 2247, 2269, 2289, 2309, 2329, 2380, 2404, 2414, 2420]"
7,2373,MIIIC,"[184, 188, 497, 558, 668, 852, 885, 951, 974, 980, 1069, 1338, 1427, 1691, 1695, 1784, 1800, 1807, 1866, 2203, 2282, 2348, 2370]"
8,2373,MIIIM,"[40, 83, 178, 286, 312, 319, 331, 360, 369, 372, 386, 395, 463, 547, 574, 624, 648, 670, 683, 732, 881, 972, 979, 1041, 1073, 1083, 1117, 1144, 1148, 1165, 1192, 1206, 1227, 1230, 1244, 1298, 1386, 1404, 1488, 1556, 1641, 1753, 1769, 1780, 1828, 1844, 1913, 1923, 1930, 1942, 1983, 2012, 2054, 2089, 2198, 2199, 2237, 2270, 2297, 2378, 2388, 2401, 2426]"
9,2373,MIIII,"[1, 3, 10, 15, 16, 20, 25, 26, 30, 60, 62, 63, 69, 71, 75, 76, 78, 92, 99, 104, 111, 116, 122, 132, 142, 162, 167, 176, 181, 189, 199, 202, 207, 208, 213, 217, 221, 225, 230, 242, 246, 247, 248, 252, 277, 295, 323, 328, 330, 337, 338, 339, 342, 347, 351, 358, 367, 375, 379, 380, 383, 401, 403, 414, 419, 424, 426, 433, 435, 440, 446, 453, 456, 458, 459, 461, 465, 468, 469, 478, 491, 499, 505, 516, 519, 521, 536, 544, 551, 552, 566, 581, 583, 589, 590, 591, 597, 600, 602, 616, 629, 636, 637, 639, 642, 644, 650, 651, 656, 671, 674, 675, 677, 684, 697, 701, 706, 711, 723, 738, 748, 750, 756, 766, 770, 771, 774, 778, 779, 799, 810, 815, 820, 825, 833, 834, 835, 839, 853, 854, 857, 869, 871, 883, 888, 892, 899, 902, 917, 918, 940, 955, 967, 969, 983, 985, 995, 999, 1004, 1013, 1017, 1026, 1038, 1048, 1074, 1075, 1079, 1085, 1091, 1119, 1124, 1135, 1145, 1149, 1161, 1174, 1175, 1183, 1185, 1196, 1201, 1202, 1204, 1208, 1210, 1211, 1223, 1229, 1241, 1243, 1245, 1259, 1261, 1277, 1281, 1282, 1288, 1297, 1301, 1307, 1323, 1326, 1335, 1339, 1346, 1353, 1354, 1364, 1366, 1378, 1411, 1415, 1416, 1424, 1430, 1437, 1439, 1444, 1448, 1449, 1458, 1459, 1460, 1469, 1472, 1476, 1479, 1492, 1497, 1500, 1503, 1504, 1513, 1514, 1523, 1528, 1530, 1536, 1546, 1553, 1579, 1580, 1582, 1584, 1585, 1587, 1588, 1590, 1598, 1602, 1624, 1644, 1660, 1664, 1665, 1685, 1693, 1694, 1704, 1714, 1728, 1737, 1738, 1749, 1756, 1760, 1761, 1765, 1779, 1789, 1794, 1797, 1802, 1803, 1817, 1818, 1822, 1825, 1829, 1833, 1838, 1846, 1856, 1860, 1862, 1878, 1888, 1891, 1896, 1899, 1900, 1925, 1936, 1961, 1965, 1971, 1973, 1974, 1975, 1976, 1996, 2007, 2014, 2025, 2027, 2036, 2045, 2047, 2053, 2058, 2069, 2075, 2078, 2083, 2090, 2104, 2114, 2132, 2137, 2140, 2142, 2151, 2159, 2162, 2170, 2180, 2183, 2201, 2204, 2206, 2208, 2210, 2227, 2240, 2252, 2264, 2267, 2299, 2301, 2312, 2313, 2326, 2332, 2336, 2341, 2344, 2345, 2351, 2358, 2360, 2361, 2362, 2366, 2371, 2376, 2377, 2384, 2386, 2389, 2398, 2415, 2428, 2429, 2433, 2434]"
