_id,ind_word,resultat,ind_possibles
0,2428,CCCCC,[2428]
1,2428,MIMII,"[31, 249, 441, 663, 751, 860, 1361, 1446, 1659, 1776, 2038, 2126, 2147, 2187, 2296]"
2,2428,MIICM,[]
3,2428,MIICI,[1557]
4,2428,MIIMC,[2027]
5,2428,MIIMM,"[33, 104, 162, 650, 706, 736, 2106]"
6,2428,MIIMI,"[62, 117, 123, 142, 159, 168, 199, 221, 236, 295, 323, 358, 419, 544, 562, 566, 756, 777, 862, 888, 969, 979, 986, 1074, 1091, 1148, 1237, 1261, 1460, 1528, 1777, 1874, 2034, 2058, 2075, 2083, 2148, 2227, 2291, 2354, 2433, 2434]"
7,2428,MIIIC,"[1220, 2100]"
8,2428,MIIIM,"[260, 783, 1597, 1705, 2144, 2161]"
9,2428,MIIII,"[84, 254, 418, 425, 443, 514, 530, 599, 606, 655, 717, 718, 784, 809, 934, 939, 1008, 1050, 1067, 1072, 1077, 1099, 1126, 1250, 1251, 1320, 1358, 1360, 1400, 1408, 1464, 1620, 1636, 1747, 1786, 1811, 1834, 1863, 1917, 1921, 1956, 1969, 1986, 2082, 2130, 2134, 2167, 2245, 2294, 2382, 2393, 2394, 2395, 2430, 2439]"
10,2428,ICCCC,[]
11,2428,ICCCM,[]
12,2428,ICCCI,[]
13,2428,ICCMC,[]
14,2428,ICCMM,[]
15,2428,ICCMI,[286]
16,2428,ICCIC,[]
17,2428,ICCIM,"[1744, 2423]"
18,2428,ICCII,"[100, 229, 582, 840, 1296, 1512, 1751, 1852, 1926, 2084, 2086, 2111]"
19,2428,ICMCC,[]
20,2428,ICMCM,[]
21,2428,ICMCI,[825]
22,2428,ICMMC,[]
23,2428,ICMMM,[]
24,2428,ICMMI,"[1227, 1768, 2033, 2162]"
25,2428,ICMIC,[850]
26,2428,ICMIM,[]
27,2428,ICMII,"[186, 233, 265, 332, 400, 712, 836, 863, 937, 1082, 1102, 1103, 1159, 1314, 1484, 1537, 1851, 1959, 2073, 2194, 2355]"
28,2428,ICICC,[2336]
29,2428,MIICC,[111]
30,2428,MIMIM,"[1468, 2135]"
31,2428,MMMMM,[]
32,2428,MIMIC,[]
33,2428,MMMIC,[]
34,2428,MMMIM,[]
35,2428,MMMII,"[11, 66, 512, 952, 1815]"
36,2428,MMICC,[]
37,2428,MMICM,[]
38,2428,MMICI,[]
39,2428,MMIMC,[]
40,2428,MMIMM,[76]
41,2428,MMIMI,"[339, 459, 538, 805, 949, 1158, 1266]"
42,2428,MMIIC,[]
43,2428,MMIIM,[]
44,2428,MMIII,"[24, 39, 858, 1198, 1417, 1754]"
45,2428,MICCC,[]
46,2428,MICCM,[]
47,2428,MICCI,[]
48,2428,MICMC,[]
