_id,ind_word,resultat,ind_possibles
0,2403,CCCCC,[2403]
1,2403,MIMII,[]
2,2403,MIICM,[]
3,2403,MIICI,[]
4,2403,MIIMC,[]
5,2403,MIIMM,[]
6,2403,MIIMI,[]
7,2403,MIIIC,[]
8,2403,MIIIM,[1767]
9,2403,MIIII,[2147]
10,2403,ICCCC,[1363]
11,2403,ICCCM,[]
12,2403,ICCCI,"[496, 503]"
13,2403,ICCMC,[353]
14,2403,ICCMM,[]
15,2403,ICCMI,"[428, 507, 1567]"
16,2403,ICCIC,[]
17,2403,ICCIM,[994]
18,2403,ICCII,"[362, 707, 734, 1000, 1606, 1772, 1828, 1950, 2348]"
19,2403,ICMCC,[]
20,2403,ICMCM,[]
21,2403,ICMCI,[]
22,2403,ICMMC,[]
23,2403,ICMMM,[]
24,2403,ICMMI,"[96, 139, 196, 623, 776, 1554, 2021, 2062]"
25,2403,ICMIC,"[838, 919, 1441, 1697, 2061, 2413, 2427]"
26,2403,ICMIM,[]
27,2403,ICMII,"[36, 364, 452, 498, 556, 795, 967, 1105, 1111, 1271, 1365, 1478, 1531, 1561, 1666, 1752, 1763, 1793, 1880, 2140, 2410]"
28,2403,ICICC,"[267, 288, 814, 1014, 1156, 1628, 1773, 1903, 2070]"
29,2403,MIICC,[]
30,2403,MIMIM,[]
31,2403,MMMMM,[]
32,2403,MIMIC,[]
33,2403,MMMIC,[]
34,2403,MMMIM,[]
35,2403,MMMII,[149]
36,2403,MMICC,[]
37,2403,MMICM,[]
38,2403,MMICI,[]
39,2403,MMIMC,[]
40,2403,MMIMM,[]
41,2403,MMIMI,[]
42,2403,MMIIC,[]
43,2403,MMIIM,[]
44,2403,MMIII,[519]
45,2403,MICCC,[]
46,2403,MICCM,[]
47,2403,MICCI,[]
48,2403,MICMC,[]
49,2403,MICMM,[]
50,2403,MICMI,[]
51,2403,MICIC,[]
52,2403,MICIM,[]
53,2403,MICII,[]
54,2403,MIMCC,[]
55,2403,MIMCM,[]
56,2403,MIMCI,[]
57,2403,MIMMC,[]
58,2403,MIMMM,[]
59,2403,MIMMI,[]
