_id,ind_word,resultat,ind_possibles
0,2323,CCCCC,[2323]
1,2323,MIMII,[]
2,2323,MIICM,[]
3,2323,MIICI,[]
4,2323,MIIMC,[]
5,2323,MIIMM,[]
6,2323,MIIMI,[]
7,2323,MIIIC,[]
8,2323,MIIIM,[]
9,2323,MIIII,[]
10,2323,ICCCC,[]
11,2323,ICCCM,[]
12,2323,ICCCI,[]
13,2323,ICCMC,[]
14,2323,ICCMM,[]
15,2323,ICCMI,[]
16,2323,ICCIC,[]
17,2323,ICCIM,[]
18,2323,ICCII,[]
19,2323,ICMCC,[]
20,2323,ICMCM,[]
21,2323,ICMCI,[]
22,2323,ICMMC,[]
23,2323,ICMMM,[]
24,2323,ICMMI,[]
25,2323,ICMIC,[]
26,2323,ICMIM,[]
27,2323,ICMII,[]
28,2323,ICICC,[]
29,2323,MIICC,[]
30,2323,MIMIM,"[102, 126, 133, 141, 146, 160, 197, 272, 665, 672, 698, 905, 1047, 1162, 1276, 1292, 1318, 1337, 1348, 1393, 1518, 1639, 1684, 1916, 2024, 2160, 2176, 2259, 2271, 2408, 2435]"
31,2323,MMMMM,[514]
32,2323,MIMIC,[593]
33,2323,MMMIC,"[1235, 1465, 1616, 1701]"
34,2323,MMMIM,"[152, 528, 542, 900, 1740, 1886, 2218, 2294]"
35,2323,MMMII,[]
36,2323,MMICC,[]
37,2323,MMICM,[]
38,2323,MMICI,[]
39,2323,MMIMC,[]
40,2323,MMIMM,[]
41,2323,MMIMI,[]
42,2323,MMIIC,[]
43,2323,MMIIM,[]
44,2323,MMIII,[]
45,2323,MICCC,[]
46,2323,MICCM,[]
47,2323,MICCI,[]
48,2323,MICMC,[]
49,2323,MICMM,[]
50,2323,MICMI,[]
51,2323,MICIC,"[156, 472, 506, 1593, 1937, 2004]"
52,2323,MICIM,[2116]
53,2323,MICII,[]
54,2323,MIMCC,[1436]
55,2323,MIMCM,[]
56,2323,MIMCI,[]
57,2323,MIMMC,[2252]
58,2323,MIMMM,"[564, 1081, 1133, 1625, 1820, 1947, 1956, 2209]"
59,2323,MIMMI,[]
60,2323,ICICI,"[824, 880, 989, 1249, 1766, 2025]"
61,2323,ICIMC,[]
62,2323,ICIMM,[]
63,2323,ICIMI,"[50, 402, 599, 861, 934, 1559, 1664, 2265, 2306]"
64,2323,IICCC,[]
65,2323,IICCM,[]
66,2323,IICCI,[]
67,2323,IICMC,[]
68,2323,IICMM,[]
69,2323,IICMI,[]
70,2323,IICIC,[]
71,2323,IICIM,[]
72,2323,IICII,[]
73,2323,IIMCC,[]
74,2323,IIMCM,[]
75,2323,IIMCI,[]
76,2323,IIMMC,[]
77,2323,IIMMM,[]
78,2323,IIMMI,[]
79,2323,IIMIC,[]
80,2323,IIMIM,[]
81,2323,IIMII,[]
82,2323,IIICC,[]
83,2323,IIICM,[]
