_id,ind_word,resultat,ind_possibles
0,2429,CCCCC,[2429]
1,2429,MIMII,"[1388, 1653]"
2,2429,MIICM,[]
3,2429,MIICI,[1611]
4,2429,MIIMC,[]
5,2429,MIIMM,[1120]
6,2429,MIIMI,"[65, 164, 303, 937, 1163, 1426, 1601, 2136]"
7,2429,MIIIC,[1370]
8,2429,MIIIM,"[1388, 1653]"
9,2429,MIIII,"[43, 47, 381, 412, 584, 720, 942, 1146, 1224, 1263, 1381, 1525, 1575, 1617, 1727, 1958, 2009, 2229]"
10,2429,ICCCC,[1079]
11,2429,ICCCM,[]
12,2429,ICCCI,[391]
13,2429,ICCMC,[]
14,2429,ICCMM,[]
15,2429,ICCMI,[2204]
16,2429,ICCIC,[]
17,2429,ICCIM,"[462, 666, 1500, 2383]"
18,2429,ICCII,"[71, 104, 116, 213, 252, 261, 380, 401, 440, 463, 471, 583, 589, 679, 799, 1056, 1083, 1161, 1174, 1185, 1245, 1307, 1974]"
19,2429,ICMCC,[]
20,2429,ICMCM,[]
21,2429,ICMCI,"[76, 796]"
22,2429,ICMMC,[]
23,2429,ICMMM,[]
24,2429,ICMMI,[207]
25,2429,ICMIC,"[810, 1134, 1845, 2298]"
26,2429,ICMIM,[10]
27,2429,ICMII,"[30, 33, 132, 247, 493, 499, 551, 597, 650, 706, 732, 770, 774, 778, 834, 995, 1052, 1155, 1211, 1406, 1513, 1553, 1598, 1706, 1711, 1738, 1770, 1838, 1891, 2132, 2142, 2239, 2329, 2330]"
28,2429,ICICC,"[771, 1017, 1660]"
29,2429,MIICC,[]
30,2429,MIMIM,[]
31,2429,MMMMM,[]
32,2429,MIMIC,[]
33,2429,MMMIC,[]
34,2429,MMMIM,[]
35,2429,MMMII,[]
36,2429,MMICC,[]
37,2429,MMICM,[]
38,2429,MMICI,[]
39,2429,MMIMC,[]
40,2429,MMIMM,[]
41,2429,MMIMI,[]
42,2429,MMIIC,[]
43,2429,MMIIM,[]
44,2429,MMIII,[]
45,2429,MICCC,[]
46,2429,MICCM,[]
47,2429,MICCI,[]
48,2429,MICMC,[]
49,2429,MICMM,[]
50,2429,MICMI,[]
51,2429,MICIC,[]
52,2429,MICIM,[]
53,2429,MICII,[]
54,2429,MIMCC,[]
55,2429,MIMCM,[]
56,2429,MIMCI,[]
57,2429,MIMMC,[]
58,2429,MIMMM,[]
59,2429,MIMMI,[1120]
60,2429,ICICI,"[269, 339, 454, 750, 766, 839, 857, 1158, 1186, 1322, 1351, 1632, 1782, 1878, 2123, 2340, 2350]"
61,2429,ICIMC,[]
62,2429,ICIMM,[207]
63,2429,ICIMI,"[3, 20, 129, 225, 456, 748, 820, 844, 1283, 1311, 1346, 1731, 1749, 1862, 1954, 2124, 2358]"
64,2429,IICCC,[]
65,2429,IICCM,"[1683, 2196]"
66,2429,IICCI,[]
67,2429,IICMC,[]
68,2429,IICMM,"[1542, 2066, 2262]"
69,2429,IICMI,"[134, 384, 580, 828, 1521, 1861, 2055, 2251]"
70,2429,IICIC,"[808, 1092, 2068]"
71,2429,IICIM,"[32, 195, 313, 417, 438, 448, 608, 641, 661, 1078, 1234, 1255, 1258, 1355, 1541, 1574, 1759, 2030, 2182]"
72,2429,IICII,"[14, 67, 128, 133, 144, 146, 165, 174, 190, 251, 304, 329, 343, 346, 390, 396, 406, 464, 475, 513, 518, 534, 578, 895, 963, 1100, 1106, 1130, 1136, 1219, 1268, 1293, 1319, 1348, 1396, 1397, 1421, 1435, 1442, 1631, 1647, 1648, 1774, 1821, 1836, 1886, 1970, 2072, 2117, 2128, 2163, 2211, 2236, 2250, 2254, 2279, 2316, 2324, 2385]"
73,2429,IIMCC,[1785]
74,2429,IIMCM,[]
75,2429,IIMCI,"[187, 823, 845, 2181]"
76,2429,IIMMC,[1080]
77,2429,IIMMM,[]
78,2429,IIMMI,"[49, 97, 209, 515, 524, 592, 595, 628, 703, 764, 996, 1006, 1168, 1171, 1260, 1389, 1409, 1445, 1607, 1635, 1710, 1744, 1745, 1835, 1890, 1901, 2064, 2076, 2158, 2249, 2255, 2423]"
79,2429,IIMIC,[]
80,2429,IIMIM,"[557, 1671, 1922]"
81,2429,IIMII,"[119, 161, 198, 224, 260, 280, 281, 301, 348, 364, 411, 434, 436, 480, 485, 587, 617, 647, 669, 700, 714, 725, 752, 755, 759, 783, 814, 830, 838, 843, 903, 931, 936, 950, 962, 970, 977, 988, 990, 1009, 1031, 1042, 1121, 1172, 1222, 1226, 1256, 1265, 1280, 1292, 1313, 1337, 1356, 1391, 1395, 1405, 1453, 1468, 1524, 1532, 1597, 1606, 1655, 1672, 1676, 1684, 1696, 1705, 1726, 1748, 1757, 1790, 1791, 1793, 1872, 1910, 1963, 1990, 2081, 2096, 2127, 2135, 2144, 2149, 2161, 2165, 2173, 2218, 2258, 2261, 2320, 2335, 2343, 2397, 2425]"
82,2429,IIICC,"[59, 577, 788, 832, 1084, 1199, 1299, 1333, 1343, 1347, 1482, 1850, 1881, 2041, 2169, 2257, 2278]"
83,2429,IIICM,"[187, 823, 845, 2181]"
84,2429,IIICI,"[11, 24, 109, 149, 153, 166, 428, 731, 745, 858, 865, 911, 913, 927, 952, 954, 992, 1000, 1002, 1063, 1102, 1116, 1159, 1160, 1166, 1176, 1214, 1269, 1305, 1455, 1462, 1534, 1547, 1558, 1596, 1663, 1681, 1815, 1879, 1914, 1927, 1949, 2000, 2119, 2141, 2375, 2432]"
