_id,ind_word,resultat,ind_possibles
0,2419,CCCCC,[2419]
1,2419,MIMII,"[172, 468, 1517, 2355, 2384]"
2,2419,MIICM,"[548, 679, 988, 1056, 1155]"
3,2419,MIICI,"[186, 567, 864, 937, 1028, 1263, 1285, 1383, 1537, 1617, 1871, 1885, 1887, 1929, 2097, 2101, 2296, 2319]"
4,2419,MIIMC,[]
5,2419,MIIMM,"[970, 1313, 1395, 1635, 1672, 2181]"
6,2419,MIIMI,"[18, 94, 101, 147, 163, 185, 203, 293, 321, 335, 363, 526, 569, 654, 749, 753, 911, 957, 1030, 1037, 1184, 1189, 1305, 1344, 1357, 1374, 1412, 1455, 1457, 1515, 1589, 1633, 1654, 1659, 1680, 1722, 1810, 1813, 1882, 1978, 1980, 2037, 2122, 2139, 2238, 2290, 2302, 2308, 2364, 2380, 2400]"
7,2419,MIIIC,"[1646, 1687]"
8,2419,MIIIM,"[30, 326, 390, 595, 895, 1042, 1307, 1442, 1726, 1738, 1770, 1789, 2135, 2422]"
9,2419,MIIII,"[11, 46, 64, 89, 95, 138, 164, 176, 202, 208, 222, 242, 257, 276, 291, 297, 317, 330, 332, 333, 362, 386, 423, 437, 451, 457, 478, 481, 509, 512, 519, 600, 614, 618, 624, 642, 663, 674, 705, 708, 710, 712, 719, 726, 772, 773, 804, 815, 820, 825, 835, 836, 891, 913, 952, 958, 993, 1004, 1013, 1019, 1094, 1097, 1102, 1132, 1144, 1151, 1157, 1159, 1192, 1201, 1262, 1279, 1314, 1334, 1346, 1354, 1386, 1456, 1458, 1530, 1558, 1566, 1571, 1572, 1584, 1608, 1611, 1643, 1661, 1685, 1737, 1768, 1780, 1803, 1851, 1856, 1899, 1914, 1927, 1967, 1996, 2007, 2033, 2073, 2089, 2118, 2162, 2174, 2183, 2187, 2194, 2202, 2219, 2244, 2303, 2363, 2415]"
10,2419,ICCCC,[1526]
11,2419,ICCCM,[]
12,2419,ICCCI,[605]
13,2419,ICCMC,[]
14,2419,ICCMM,[]
15,2419,ICCMI,"[126, 1318]"
16,2419,ICCIC,[1276]
17,2419,ICCIM,[1026]
18,2419,ICCII,"[320, 632, 658, 813, 1119, 2435]"
19,2419,ICMCC,[]
20,2419,ICMCM,[]
21,2419,ICMCI,[150]
22,2419,ICMMC,[]
23,2419,ICMMM,[]
24,2419,ICMMI,"[593, 722, 1221, 1577]"
25,2419,ICMIC,[]
26,2419,ICMIM,"[1337, 1468]"
27,2419,ICMII,"[80, 141, 217, 344, 372, 570, 596, 900, 997, 1448, 1610, 1662, 1815, 1829, 1915, 1985, 2043, 2274, 2408]"
28,2419,ICICC,"[817, 1649]"
29,2419,MIICC,[]
30,2419,MIMIM,[]
31,2419,MMMMM,[]
32,2419,MIMIC,[]
33,2419,MMMIC,[]
34,2419,MMMIM,[]
35,2419,MMMII,"[760, 1248, 2115, 2402]"
36,2419,MMICC,[1253]
37,2419,MMICM,[]
38,2419,MMICI,[1735]
39,2419,MMIMC,[]
40,2419,MMIMM,[1872]
41,2419,MMIMI,"[400, 455, 488, 510, 754, 910, 941, 1375, 1670, 1819, 1895, 1940, 2105, 2131, 2331]"
42,2419,MMIIC,[1135]
43,2419,MMIIM,"[151, 1553]"
44,2419,MMIII,"[58, 66, 118, 167, 230, 233, 238, 263, 265, 268, 474, 506, 523, 571, 604, 612, 667, 727, 751, 855, 897, 1070, 1073, 1125, 1167, 1193, 1328, 1361, 1382, 1440, 1446, 1484, 1520, 1531, 1798, 1817, 1827, 1898, 1959, 1972, 1993, 2003, 2038, 2049, 2051, 2095, 2110, 2214, 2327]"
45,2419,MICCC,[]
46,2419,MICCM,[]
47,2419,MICCI,[]
48,2419,MICMC,[2129]
49,2419,MICMM,[2239]
50,2419,MICMI,"[258, 757, 1022, 1098, 1310, 1583, 1870, 1964, 2059, 2356, 2381, 2416]"
51,2419,MICIC,[]
52,2419,MICIM,"[995, 2423]"
53,2419,MICII,"[100, 106, 397, 449, 554, 574, 645, 797, 965, 1111, 1204, 1296, 1512, 1545, 1546, 1587, 1801, 2069, 2232, 2301, 2345]"
54,2419,MIMCC,[]
55,2419,MIMCM,[]
56,2419,MIMCI,[]
57,2419,MIMMC,[]
58,2419,MIMMM,[]
59,2419,MIMMI,"[127, 1658]"
60,2419,ICICI,"[307, 443, 606, 696, 792, 896, 1142, 1302, 1306, 1312, 1616, 1811, 1834, 1849, 1894, 2019, 2120, 2171]"
61,2419,ICIMC,[1707]
