_id,ind_word,resultat,ind_possibles
0,2409,CCCCC,[2409]
1,2409,MIMII,"[159, 540, 926, 1065, 1576, 1706, 1816]"
2,2409,MIICM,[]
3,2409,MIICI,[]
4,2409,MIIMC,"[704, 1107, 1463]"
5,2409,MIIMM,"[8, 245, 370, 385, 956, 1068, 1090, 1141, 1160, 1231, 1232, 1254, 2088, 2315]"
6,2409,MIIMI,"[13, 54, 58, 160, 180, 218, 275, 564, 782, 837, 1152, 1159, 1632, 1668, 2160, 2169]"
7,2409,MIIIC,"[81, 268, 276, 299, 402, 607, 631, 664, 685, 848, 884, 960, 1219, 1273, 1311, 1376, 1393, 1394, 1480, 1496, 1699, 1720, 1771, 1835, 1861, 1867, 1875, 1935, 1945, 2346, 2424]"
8,2409,MIIIM,"[138, 263, 374, 378, 418, 515, 522, 546, 759, 790, 913, 997, 1042, 1055, 1157, 1178, 1182, 1217, 1264, 1398, 1562, 1572, 1618, 1652, 1770, 1869, 1914, 1931, 1950, 1957, 2018, 2092, 2167, 2249, 2257, 2310, 2368, 2383, 2439]"
9,2409,MIIII,"[168, 173, 215, 253, 265, 391, 392, 575, 796, 865, 867, 982, 1035, 1039, 1076, 1084, 1102, 1186, 1274, 1287, 1337, 1351, 1445, 1470, 1483, 1578, 1593, 1657, 1845, 1865, 1944, 1985, 2000, 2094, 2179, 2340, 2350, 2405]"
10,2409,ICCCC,[]
11,2409,ICCCM,[]
12,2409,ICCCI,"[442, 2260]"
13,2409,ICCMC,[]
14,2409,ICCMM,"[298, 1391, 1813, 2155, 2205]"
15,2409,ICCMI,"[780, 849, 1902, 2041]"
16,2409,ICCIC,"[445, 603, 613, 662, 1222, 1570, 1839, 1883, 2220, 2343, 2394]"
17,2409,ICCIM,"[7, 281, 1980]"
18,2409,ICCII,"[21, 204, 211, 296, 436, 659, 922, 1036, 1040, 1371, 1433, 1501, 1671, 1933, 2145, 2222, 2289, 2349]"
19,2409,ICMCC,[]
20,2409,ICMCM,[]
