_id,ind_word,resultat,ind_possibles
0,2321,CCCCC,[2321]
1,2321,MIMII,"[244, 535, 750, 792, 844, 1088, 1109, 1129, 1198, 1199, 1475, 1535, 1660, 1778, 1785, 1954]"
2,2321,MIICM,[]
3,2321,MIICI,"[442, 1257, 1818, 2260, 2326]"
4,2321,MIIMC,"[414, 854, 901, 1216, 1316, 1630, 1930, 1995, 2090, 2361]"
5,2321,MIIMM,"[42, 298, 323, 465, 743, 770, 951, 1238, 1391, 1411, 1585, 1661, 1813, 2205, 2243, 2276]"
6,2321,MIIMI,"[1, 9, 137, 193, 250, 308, 389, 487, 691, 765, 769, 780, 812, 849, 885, 892, 917, 985, 1233, 1320, 1332, 1580, 1799, 1896, 1902, 1960, 2080, 2132, 2360]"
7,2321,MIIIC,"[75, 102, 106, 246, 274, 381, 430, 433, 445, 530, 590, 603, 613, 662, 774, 778, 801, 841, 874, 948, 964, 984, 1091, 1131, 1211, 1222, 1225, 1226, 1281, 1288, 1292, 1366, 1485, 1570, 1605, 1696, 1769, 1839, 1883, 1973, 2142, 2220, 2241, 2332, 2343, 2394, 2396]"
8,2321,MIIIM,"[7, 46, 80, 202, 219, 254, 259, 279, 281, 330, 416, 468, 497, 519, 568, 614, 642, 705, 779, 815, 851, 1060, 1089, 1093, 1207, 1243, 1252, 1327, 1335, 1339, 1568, 1590, 1598, 1737, 1760, 1826, 1966, 1980, 2134, 2191, 2208, 2274, 2300, 2345, 2363, 2434]"
9,2321,MIIII,"[10, 15, 21, 33, 34, 92, 159, 161, 162, 197, 199, 203, 204, 206, 211, 221, 248, 289, 296, 322, 368, 412, 424, 426, 436, 511, 528, 540, 659, 673, 755, 829, 852, 882, 887, 896, 905, 920, 921, 922, 926, 979, 1008, 1036, 1040, 1065, 1069, 1096, 1256, 1294, 1324, 1329, 1371, 1419, 1433, 1436, 1481, 1498, 1501, 1503, 1522, 1529, 1553, 1649, 1654, 1671, 1691, 1706, 1802, 1822, 1840, 1917, 1932, 1933, 1961, 1963, 1967, 1979, 2014, 2034, 2097, 2126, 2137, 2144, 2145, 2148, 2178, 2203, 2222, 2271, 2289, 2293, 2349, 2408, 2420, 2425, 2430]"
10,2321,ICCCC,[686]
11,2321,ICCCM,[]
12,2321,ICCCI,[]
13,2321,ICCMC,"[64, 1601]"
14,2321,ICCMM,[]
15,2321,ICCMI,"[1030, 1156, 1479, 2076, 2143]"
16,2321,ICCIC,"[49, 209, 708, 1205, 1372, 1608, 1643, 2121, 2410]"
17,2321,ICCIM,[]
18,2321,ICCII,"[40, 505, 795, 1635, 1789, 1925, 2095, 2140, 2158]"
19,2321,ICMCC,[]
20,2321,ICMCM,[]
21,2321,ICMCI,[]
22,2321,ICMMC,[1214]
23,2321,ICMMM,[1385]
24,2321,ICMMI,"[187, 823, 1160, 1176, 1365, 1462, 1482, 2119]"
25,2321,ICMIC,[745]
26,2321,ICMIM,"[177, 1006, 1128, 1180]"
27,2321,ICMII,"[428, 459, 688, 952, 1000, 1166, 1264, 1430, 1521, 1558, 1596, 1772, 1879, 2018, 2251, 2257, 2375]"
28,2321,ICICC,"[98, 201, 300, 346, 578, 1397, 1604, 1823, 2052, 2322]"
29,2321,MIICC,"[470, 585, 798, 912, 2409]"
30,2321,MIMIM,"[11, 415, 1103, 1137, 1367]"
31,2321,MMMMM,[]
32,2321,MIMIC,"[191, 407, 512, 767, 785, 935, 1275, 1637, 2248]"
33,2321,MMMIC,"[953, 1154]"
34,2321,MMMIM,[]
35,2321,MMMII,"[11, 415, 1103, 1137, 1367]"
36,2321,MMICC,[]
37,2321,MMICM,[]
38,2321,MMICI,[]
39,2321,MMIMC,[]
40,2321,MMIMM,"[355, 531, 1489, 1702, 1796, 2324]"
41,2321,MMIMI,"[42, 298, 323, 465, 743, 770, 951, 1238, 1391, 1411, 1585, 1661, 1813, 2205, 2243, 2276]"
42,2321,MMIIC,"[53, 222, 373, 382, 513, 602, 681, 682, 695, 1467, 1622, 2087, 2183]"
43,2321,MMIIM,"[23, 325, 405, 710, 846, 2193]"
44,2321,MMIII,"[7, 46, 80, 202, 219, 254, 259, 279, 281, 330, 416, 468, 497, 519, 568, 614, 642, 705, 779, 815, 851, 1060, 1089, 1093, 1207, 1243, 1252, 1327, 1335, 1339, 1568, 1590, 1598, 1737, 1760, 1826, 1966, 1980, 2134, 2191, 2208, 2274, 2300, 2345, 2363, 2434]"
45,2321,MICCC,[]
46,2321,MICCM,[]
47,2321,MICCI,[]
48,2321,MICMC,[]
49,2321,MICMM,"[140, 944]"
50,2321,MICMI,[2317]
51,2321,MICIC,"[157, 959]"
52,2321,MICIM,[]
53,2321,MICII,"[77, 805, 1021, 1544]"
54,2321,MIMCC,"[175, 239]"
55,2321,MIMCM,[]
56,2321,MIMCI,[1733]
57,2321,MIMMC,[]
58,2321,MIMMM,"[37, 626, 807]"
59,2321,MIMMI,"[153, 269, 657, 825, 839, 857, 2041]"
60,2321,ICICI,"[331, 406, 648, 876, 1413, 1424, 1648, 2046, 2077]"
61,2321,ICIMC,"[96, 128, 448, 554, 1044, 1053, 1146, 1555, 1677, 1688]"
62,2321,ICIMM,"[108, 292, 370, 481, 494, 502, 572, 623, 647, 904, 976, 1095, 1132, 1401, 1603, 1614, 1621, 1717, 1748, 1908, 1918, 1941, 2001, 2082, 2342, 2367, 2411]"
63,2321,ICIMI,"[8, 99, 155, 158, 267, 327, 413, 490, 713, 737, 853, 873, 888, 1018, 1038, 1110, 1229, 1231, 1255, 1298, 1345, 1396, 1432, 1497, 1506, 1531, 1676, 1723, 1736, 1784, 1795, 1828, 1860, 1904, 1921, 1971, 2078, 2104, 2198, 2217, 2236, 2258, 2282, 2313, 2315, 2352, 2393]"
64,2321,IICCC,[1054]
65,2321,IICCM,[]
66,2321,IICCI,"[456, 2003, 2124]"
67,2321,IICMC,"[820, 1426, 2177]"
68,2321,IICMM,"[333, 1112, 1120, 1409]"
69,2321,IICMI,"[143, 526, 961, 1517, 1745, 1764]"
70,2321,IICIC,"[164, 630, 748, 764, 949, 1260, 1283, 1311, 1915, 1992, 2265]"
71,2321,IICIM,"[66, 595, 1015, 1149, 1286, 1719]"
72,2321,IICII,"[3, 20, 25, 69, 82, 129, 207, 228, 266, 349, 386, 403, 495, 523, 529, 667, 703, 855, 868, 1039, 1571, 1646, 1675, 1689, 1725, 1929, 2020, 2267, 2380]"
73,2321,IIMCC,"[134, 640, 840, 928, 1523, 1549, 1682, 1744, 1812]"
74,2321,IIMCM,[]
75,2321,IIMCI,"[88, 286, 833, 1588, 2004, 2055, 2269, 2390]"
76,2321,IIMMC,"[437, 930, 938, 954]"
77,2321,IIMMM,"[70, 125, 210, 422, 727, 845, 856, 927, 991, 1007, 1068, 1116, 1163, 1368, 1507, 1534, 1716, 2005, 2086, 2196, 2232]"
78,2321,IIMMI,"[58, 59, 85, 109, 135, 275, 277, 339, 347, 388, 454, 492, 517, 693, 762, 766, 782, 858, 992, 1017, 1046, 1139, 1158, 1159, 1269, 1322, 1333, 1343, 1347, 1353, 1378, 1428, 1429, 1484, 1547, 1626, 1632, 1683, 1841, 1881, 1890, 1901, 1924, 1934, 2036, 2066, 2069, 2111, 2112, 2141, 2153, 2169, 2281, 2305, 2386, 2401]"
