_id,ind_word,resultat,ind_possibles
0,2407,CCCCC,[2407]
1,2407,MIMII,"[2, 5, 12, 18, 33, 45, 68, 93, 163, 179, 185, 200, 227, 231, 237, 266, 294, 335, 377, 442, 450, 462, 477, 508, 529, 541, 548, 561, 567, 576, 586, 609, 627, 660, 666, 673, 679, 687, 730, 736, 740, 765, 786, 831, 844, 849, 859, 893, 920, 923, 1028, 1036, 1045, 1056, 1101, 1108, 1134, 1155, 1187, 1194, 1236, 1240, 1246, 1285, 1291, 1315, 1324, 1332, 1373, 1380, 1419, 1420, 1452, 1457, 1481, 1494, 1519, 1557, 1563, 1583, 1600, 1623, 1656, 1711, 1767, 1804, 1805, 1810, 1830, 1842, 1902, 1954, 1964, 1994, 1997, 2008, 2020, 2042, 2097, 2106, 2124, 2168, 2184, 2200, 2221, 2225, 2230, 2235, 2239, 2247, 2256, 2284, 2289, 2291, 2292, 2298, 2302, 2330, 2337, 2353, 2354, 2380, 2414, 2417]"
2,2407,MIICM,"[52, 136, 353, 966, 1023, 1506, 1723, 1938, 1987, 2217, 2372]"
3,2407,MIICI,"[133, 204, 249, 301, 309, 432, 534, 573, 580, 635, 649, 754, 780, 791, 889, 903, 922, 1088, 1130, 1136, 1318, 1349, 1371, 1433, 1443, 1487, 1543, 1607, 1626, 1669, 1670, 1674, 1678, 1690, 1703, 1787, 1791, 1819, 1872, 1884, 1889, 1895, 1906, 1920, 1933, 1960, 2015, 2028, 2050, 2209, 2349]"
4,2407,MIIMC,"[273, 722, 948, 1131, 1330, 1969, 2131]"
5,2407,MIIMM,"[416, 617, 817, 1027, 1516, 1568, 1903, 1909, 2040, 2105, 2263, 2413]"
6,2407,MIIMI,"[29, 150, 278, 307, 400, 443, 472, 550, 593, 605, 606, 615, 678, 696, 715, 763, 792, 829, 868, 882, 896, 910, 931, 943, 1040, 1057, 1077, 1142, 1221, 1256, 1267, 1294, 1302, 1306, 1319, 1320, 1355, 1422, 1477, 1498, 1510, 1526, 1538, 1541, 1577, 1609, 1616, 1638, 1649, 1681, 1715, 1725, 1750, 1774, 1806, 1811, 1821, 1834, 1849, 1894, 1912, 1917, 1932, 1949, 2019, 2023, 2072, 2120, 2165, 2171, 2173, 2186, 2325, 2335, 2419, 2425]"
7,2407,MIIIC,"[27, 38, 72, 112, 165, 234, 258, 304, 348, 352, 396, 417, 431, 445, 480, 484, 485, 543, 599, 603, 613, 640, 641, 654, 662, 676, 700, 714, 720, 741, 749, 753, 783, 819, 901, 970, 978, 990, 1010, 1024, 1078, 1098, 1106, 1114, 1147, 1189, 1195, 1222, 1224, 1242, 1258, 1265, 1280, 1310, 1316, 1350, 1357, 1395, 1399, 1418, 1435, 1461, 1466, 1509, 1515, 1570, 1574, 1595, 1620, 1634, 1647, 1651, 1672, 1696, 1718, 1722, 1724, 1727, 1781, 1809, 1824, 1839, 1855, 1868, 1873, 1882, 1883, 1955, 1995, 2009, 2035, 2093, 2166, 2197, 2220, 2224, 2229, 2242, 2254, 2304, 2343, 2369, 2381, 2394]"
8,2407,MIIIM,"[7, 14, 51, 56, 70, 86, 94, 113, 131, 145, 174, 190, 192, 224, 232, 235, 260, 267, 281, 283, 284, 285, 288, 298, 305, 315, 321, 324, 334, 336, 387, 399, 406, 411, 476, 518, 533, 545, 569, 611, 652, 694, 699, 709, 725, 781, 793, 806, 814, 822, 838, 861, 872, 876, 890, 916, 919, 934, 957, 994, 1003, 1015, 1016, 1030, 1032, 1034, 1059, 1066, 1092, 1099, 1126, 1137, 1156, 1184, 1234, 1251, 1255, 1263, 1286, 1289, 1293, 1313, 1344, 1345, 1352, 1358, 1359, 1360, 1363, 1383, 1384, 1387, 1391, 1396, 1408, 1412, 1438, 1441, 1493, 1502, 1569, 1573, 1575, 1589, 1617, 1619, 1628, 1631, 1633, 1635, 1659, 1697, 1773, 1775, 1795, 1813, 1826, 1858, 1870, 1885, 1904, 1910, 1921, 1922, 1943, 1968, 1980, 1982, 1988, 1990, 2006, 2026, 2030, 2037, 2061, 2070, 2077, 2117, 2122, 2149, 2155, 2164, 2191, 2205, 2211, 2236, 2238, 2275, 2290, 2295, 2308, 2338, 2364, 2382, 2403, 2406, 2412, 2416, 2418, 2427]"
9,2407,MIIII,"[21, 55, 124, 137, 186, 211, 296, 308, 436, 577, 633, 638, 659, 689, 716, 731, 742, 821, 850, 864, 878, 925, 937, 971, 975, 988, 1022, 1046, 1063, 1080, 1109, 1138, 1150, 1197, 1220, 1295, 1299, 1340, 1370, 1381, 1425, 1455, 1491, 1501, 1508, 1511, 1529, 1537, 1540, 1547, 1559, 1594, 1629, 1654, 1658, 1671, 1673, 1675, 1680, 1746, 1755, 1790, 1841, 1853, 1854, 1881, 1887, 1893, 1897, 1929, 1952, 1953, 2013, 2041, 2074, 2101, 2111, 2126, 2127, 2141, 2145, 2222, 2260, 2395, 2430, 2437]"
10,2407,ICCCC,[]
11,2407,ICCCM,[]
12,2407,ICCCI,[]
13,2407,ICCMC,[]
14,2407,ICCMM,[]
15,2407,ICCMI,[]
16,2407,ICCIC,[1935]
17,2407,ICCIM,[]
18,2407,ICCII,[]
19,2407,ICMCC,[]
20,2407,ICMCM,[]
21,2407,ICMCI,[]
22,2407,ICMMC,[]
23,2407,ICMMM,[]
24,2407,ICMMI,[]
25,2407,ICMIC,[]
26,2407,ICMIM,"[138, 1090, 1217, 1232]"
27,2407,ICMII,"[782, 1470, 1657]"
28,2407,ICICC,[]
29,2407,MIICC,"[429, 1325, 1486, 1505, 1527, 1776, 2079, 2339]"
30,2407,MIMIM,[1966]
31,2407,MMMMM,[]
32,2407,MIMIC,"[57, 2085, 2139, 2190]"
33,2407,MMMIC,[]
34,2407,MMMIM,[2175]
