_id,ind_word,resultat,ind_possibles
0,2371,CCCCC,[2371]
1,2371,MIMII,[]
2,2371,MIICM,[]
3,2371,MIICI,[]
4,2371,MIIMC,[]
5,2371,MIIMM,[]
6,2371,MIIMI,[]
7,2371,MIIIC,[]
8,2371,MIIIM,[]
9,2371,MIIII,[]
10,2371,ICCCC,"[2199, 2309]"
11,2371,ICCCM,[]
12,2371,ICCCI,[]
13,2371,ICCMC,[]
14,2371,ICCMM,[]
15,2371,ICCMI,[]
16,2371,ICCIC,"[871, 1523]"
17,2371,ICCIM,[]
18,2371,ICCII,"[2269, 2415]"
19,2371,ICMCC,[]
20,2371,ICMCM,[]
21,2371,ICMCI,"[319, 1227]"
22,2371,ICMMC,[]
23,2371,ICMMM,[]
24,2371,ICMMI,"[1274, 1323, 1578, 2033, 2138, 2344, 2401]"
25,2371,ICMIC,[]
26,2371,ICMIM,[]
27,2371,ICMII,"[88, 277, 286, 287, 825, 833, 867, 1139, 1353, 1535, 1588, 1768, 1816, 2162, 2184, 2336, 2386, 2428]"
28,2371,ICICC,"[628, 1341, 1431, 2044, 2255]"
29,2371,MIICC,[]
30,2371,MIMIM,[]
31,2371,MMMMM,[]
32,2371,MIMIC,[]
33,2371,MMMIC,[]
34,2371,MMMIM,"[1149, 1430]"
35,2371,MMMII,"[228, 702, 2180]"
36,2371,MMICC,[]
37,2371,MMICM,[]
38,2371,MMICI,[]
39,2371,MMIMC,[]
40,2371,MMIMM,[]
41,2371,MMIMI,[]
42,2371,MMIIC,[]
43,2371,MMIIM,"[1015, 1879, 2375]"
44,2371,MMIII,[1949]
45,2371,MICCC,[]
46,2371,MICCM,[]
47,2371,MICCI,[]
48,2371,MICMC,[]
49,2371,MICMM,[]
50,2371,MICMI,[]
51,2371,MICIC,[]
52,2371,MICIM,[]
53,2371,MICII,[]
54,2371,MIMCC,[]
55,2371,MIMCM,[]
56,2371,MIMCI,[]
57,2371,MIMMC,[]
58,2371,MIMMM,[]
59,2371,MIMMI,[]
60,2371,ICICI,"[715, 716, 929, 1087, 1629, 1853]"
61,2371,ICIMC,"[407, 483, 524, 712, 938, 1051, 1682, 1712, 1720, 1945, 1981, 2212, 2334, 2347]"
62,2371,ICIMM,"[65, 70, 105, 171, 314, 332, 345, 361, 378, 422, 460, 479, 515, 592, 836, 991, 1103, 1171, 1716, 1926, 2005, 2057, 2368, 2432]"
63,2371,ICIMI,"[91, 109, 365, 633, 693, 742, 775, 1046, 1115, 1389, 1425, 1445, 1475, 1508, 1537, 1540, 1729, 1732, 1841, 1854, 1924, 2099, 2112]"
64,2371,IICCC,"[435, 598, 1899, 2170]"
65,2371,IICCM,"[1989, 2208, 2351]"
66,2371,IICCI,"[103, 193, 917, 1037, 1043, 2156]"
67,2371,IICMC,"[342, 602, 607, 697, 854, 862, 1364, 1460, 1624, 1664, 1844, 2025, 2312]"
68,2371,IICMM,"[83, 883, 1335, 2151, 2434]"
69,2371,IICMI,"[188, 253, 270, 271, 338, 392, 536, 637, 769, 837, 885, 986, 989, 1215, 1237, 1404, 1476, 1896, 1923, 1965, 2137, 2327, 2384]"
70,2371,IICIC,"[90, 226, 738, 955, 958, 1004, 1013, 1145, 1192, 1201, 1281, 1386, 1496, 1874, 1935, 2043, 2183, 2277, 2332, 2407]"
71,2371,IICIM,"[167, 323, 465, 468, 497, 1817, 2046]"
72,2371,IICII,"[127, 461, 469, 812, 985, 1069, 1193, 1233, 1584, 1687, 1788, 1802, 1967, 2014, 2034, 2172, 2201, 2252, 2331]"
73,2371,IIMCC,"[16, 78, 247, 675, 1223, 1228, 1528, 1877, 2012, 2366]"
74,2371,IIMCM,"[74, 327, 360, 375, 409, 458, 491, 562, 875, 972, 1117, 1217, 1298, 1411, 1753, 1843, 2175, 2227, 2297]"
75,2371,IIMCI,"[9, 12, 45, 48, 50, 62, 73, 179, 189, 227, 354, 383, 537, 586, 627, 636, 643, 730, 736, 746, 756, 1048, 1173, 1244, 1246, 1259, 1437, 1459, 1469, 1650, 1656, 1830, 1975, 1978, 1997, 2042, 2230, 2389]"
76,2371,IIMMC,"[81, 116, 176, 182, 433, 478, 600, 651, 656, 761, 834, 881, 993, 1064, 1074, 1091, 1124, 1204, 1366, 1488, 1582, 1641, 1741, 1779, 1838, 1973, 1976, 2085, 2090, 2139, 2426]"
77,2371,IIMMM,"[4, 6, 60, 63, 99, 142, 181, 208, 213, 230, 236, 242, 261, 279, 295, 401, 419, 453, 516, 547, 579, 581, 639, 650, 671, 674, 711, 799, 815, 899, 918, 999, 1041, 1075, 1083, 1148, 1178, 1202, 1229, 1243, 1262, 1297, 1339, 1424, 1427, 1439, 1444, 1492, 1536, 1552, 1562, 1565, 1598, 1618, 1645, 1652, 1685, 1756, 1794, 1807, 1825, 1831, 1860, 1866, 1931, 1942, 1957, 1974, 2007, 2017, 2047, 2054, 2159, 2206, 2270, 2280, 2310, 2341, 2362, 2388, 2398]"
78,2371,IIMMI,"[0, 1, 2, 5, 15, 54, 92, 93, 114, 117, 132, 152, 168, 180, 206, 215, 218, 221, 237, 248, 294, 312, 318, 320, 337, 341, 351, 356, 358, 367, 377, 379, 393, 395, 408, 446, 462, 467, 487, 493, 499, 566, 567, 591, 618, 624, 644, 660, 683, 684, 690, 701, 723, 740, 765, 786, 852, 887, 902, 920, 921, 1012, 1028, 1035, 1036, 1052, 1085, 1101, 1175, 1181, 1187, 1230, 1236, 1277, 1285, 1291, 1308, 1338, 1354, 1373, 1380, 1415, 1420, 1452, 1456, 1457, 1483, 1490, 1494, 1499, 1504, 1519, 1557, 1560, 1623, 1640, 1692, 1694, 1704, 1711, 1714, 1730, 1797, 1803, 1805, 1810, 1829, 1856, 1865, 1891, 1900, 1936, 1979, 1983, 1985, 1998, 2008, 2059, 2075, 2091, 2106, 2148, 2210, 2213, 2225, 2247, 2256, 2264, 2283, 2289, 2291, 2298, 2302, 2319, 2328, 2330, 2337, 2353, 2357, 2360, 2370, 2376, 2405, 2414, 2417, 2436]"
79,2371,IIMIC,"[57, 71, 75, 106, 243, 246, 380, 414, 463, 574, 583, 589, 590, 597, 677, 732, 774, 778, 811, 869, 874, 912, 940, 981, 995, 1144, 1161, 1165, 1174, 1210, 1211, 1216, 1225, 1245, 1278, 1288, 1376, 1377, 1406, 1500, 1513, 1546, 1587, 1665, 1769, 1777, 1888, 1913, 1930, 1996, 2133, 2142, 2190, 2301, 2361, 2377]"
80,2371,IIMIM,"[8, 28, 79, 111, 138, 178, 202, 264, 328, 330, 331, 369, 440, 444, 519, 521, 558, 616, 629, 642, 648, 653, 670, 713, 719, 735, 744, 770, 777, 779, 790, 810, 835, 853, 888, 951, 956, 967, 969, 974, 980, 983, 1038, 1090, 1135, 1183, 1196, 1206, 1207, 1208, 1231, 1232, 1254, 1261, 1282, 1301, 1307, 1326, 1449, 1458, 1497, 1514, 1530, 1585, 1590, 1602, 1693, 1709, 1728, 1737, 1738, 1760, 1770, 1780, 1784, 1800, 1828, 1869, 1966, 1971, 2027, 2058, 2078, 2088, 2089, 2104, 2114, 2174, 2198, 2282, 2313, 2345, 2348, 2383, 2422, 2433]"
