_id,ind_word,resultat,ind_possibles
0,2417,CCCCC,[2417]
1,2417,MIMII,"[238, 302, 340, 489, 517, 572, 587, 703, 712, 752, 764, 898, 938, 987, 1019, 1179, 1248, 1252, 1394, 1403, 1474, 1764, 1993, 2212]"
2,2417,MIICM,"[122, 208, 2398]"
3,2417,MIICI,"[99, 225, 386, 711, 1064, 1243, 1618, 1645, 1694, 1756, 1807, 1942, 2054, 2159, 2210, 2370, 2388]"
4,2417,MIIMC,"[83, 337, 579, 2151]"
5,2417,MIIMM,"[16, 247, 375, 675, 1048, 1259, 1437, 1843, 2012, 2366]"
6,2417,MIIMI,"[3, 9, 20, 25, 40, 54, 62, 73, 78, 81, 132, 181, 188, 189, 193, 207, 236, 253, 318, 319, 338, 342, 351, 360, 367, 383, 392, 393, 403, 458, 478, 491, 536, 562, 566, 602, 607, 637, 643, 656, 697, 748, 756, 761, 796, 834, 837, 854, 881, 885, 917, 949, 972, 993, 1043, 1074, 1117, 1124, 1186, 1223, 1227, 1228, 1244, 1298, 1335, 1364, 1378, 1404, 1411, 1415, 1459, 1460, 1469, 1476, 1479, 1488, 1528, 1536, 1624, 1641, 1650, 1664, 1685, 1704, 1753, 1779, 1838, 1844, 1866, 1878, 1899, 1900, 1923, 1931, 1957, 1973, 1975, 1976, 2025, 2090, 2137, 2170, 2199, 2208, 2227, 2297, 2312, 2351, 2357, 2371, 2376, 2384, 2389, 2426, 2434]"
7,2417,MIIIC,"[19, 87, 107, 115, 171, 255, 314, 345, 404, 495, 522, 549, 592, 866, 1417, 1495, 1550, 1719, 1939, 2011, 2193, 2215, 2342]"
8,2417,MIIIM,"[405, 929, 1061, 1369, 1414, 1447, 1847, 1905, 2044, 2255, 2288]"
9,2417,MIIII,"[31, 96, 98, 119, 121, 125, 139, 143, 155, 198, 223, 256, 259, 262, 349, 350, 371, 385, 394, 402, 418, 422, 437, 457, 483, 496, 502, 503, 524, 525, 532, 542, 568, 571, 612, 619, 620, 628, 631, 695, 704, 721, 724, 760, 784, 824, 830, 832, 836, 847, 870, 880, 884, 894, 900, 907, 908, 939, 947, 959, 962, 991, 1006, 1008, 1009, 1018, 1021, 1025, 1031, 1049, 1051, 1054, 1055, 1058, 1062, 1113, 1118, 1146, 1164, 1172, 1177, 1182, 1213, 1235, 1249, 1260, 1290, 1331, 1334, 1367, 1372, 1382, 1389, 1400, 1426, 1431, 1450, 1464, 1465, 1473, 1489, 1517, 1533, 1534, 1544, 1554, 1596, 1603, 1642, 1653, 1662, 1667, 1682, 1700, 1701, 1705, 1712, 1720, 1721, 1740, 1745, 1754, 1757, 1762, 1808, 1814, 1827, 1863, 1898, 1907, 1951, 1972, 1981, 2002, 2021, 2022, 2052, 2062, 2100, 2108, 2115, 2136, 2143, 2152, 2158, 2161, 2167, 2177, 2218, 2226, 2243, 2258, 2261, 2265, 2285, 2303, 2306, 2323, 2333, 2387, 2392]"
10,2417,ICCCC,[]
11,2417,ICCCM,[]
12,2417,ICCCI,[]
13,2417,ICCMC,[]
14,2417,ICCMM,"[12, 45]"
15,2417,ICCMI,"[18, 163, 185, 363]"
16,2417,ICCIC,[]
17,2417,ICCIM,"[700, 931, 1755, 1824]"
18,2417,ICCII,"[510, 654, 1063, 1357, 1527, 2263]"
19,2417,ICMCC,"[1494, 1519, 2020]"
20,2417,ICMCM,[]
21,2417,ICMCI,"[541, 1902, 2200, 2287]"
22,2417,ICMMC,[]
23,2417,ICMMM,[1656]
24,2417,ICMMI,[]
25,2417,ICMIC,"[781, 1787]"
26,2417,ICMIM,"[273, 484, 714, 978, 1189, 1197, 1498, 1868, 1884, 2229, 2338, 2339]"
27,2417,ICMII,"[204, 398, 417, 439, 615, 1098, 1106, 1131, 1170, 1477, 1486, 1651, 1669, 1703, 1889, 1895, 1920, 1969, 2009, 2015, 2037, 2364, 2438]"
28,2417,ICICC,"[2, 5, 93, 740, 1380, 1499, 1560, 1692, 2008, 2091, 2289, 2328]"
29,2417,MIICC,"[453, 1323, 1652, 1936, 1983, 2206]"
30,2417,MIMIM,"[240, 366, 1341]"
31,2417,MMMMM,[]
32,2417,MIMIC,[]
33,2417,MMMIC,"[44, 282]"
34,2417,MMMIM,"[716, 2070]"
35,2417,MMMII,"[315, 357, 1289, 1595, 1658, 1841, 1873, 1982, 2186, 2325, 2372]"
36,2417,MMICC,[]
37,2417,MMICM,[]
38,2417,MMICI,[690]
39,2417,MMIMC,[237]
40,2417,MMIMM,"[50, 179, 730, 2042]"
41,2417,MMIMI,"[270, 377, 408, 493, 538, 598, 746, 986, 989, 1028, 1037, 1181, 1236, 1237, 1490, 1711, 1805, 1810, 1830, 1978, 2139, 2298, 2309]"
