_id,ind_word,resultat,ind_possibles
0,2423,CCCCC,[2423]
1,2423,MIMII,"[151, 326, 471, 548, 679, 1056, 1253, 1687, 1788]"
2,2423,MIICM,[1042]
3,2423,MIICI,[]
4,2423,MIIMC,"[970, 1395, 1672]"
5,2423,MIIMM,"[390, 895, 1135, 1297, 1307, 1313, 1326, 1442]"
6,2423,MIIMI,"[151, 326, 471, 548, 679, 1056, 1253, 1687, 1788]"
7,2423,MIIIC,"[32, 67, 71, 116, 128, 165, 195, 304, 313, 342, 343, 346, 364, 380, 396, 417, 434, 448, 463, 464, 475, 485, 513, 578, 583, 587, 589, 608, 641, 661, 714, 752, 774, 830, 834, 843, 936, 950, 963, 977, 981, 1009, 1078, 1106, 1161, 1174, 1219, 1226, 1245, 1258, 1268, 1397, 1421, 1435, 1574, 1647, 1655, 1759, 1793, 1836, 2128, 2254, 2279, 2312, 2316, 2343, 2385, 2397]"
8,2423,MIIIM,"[4, 14, 23, 28, 79, 111, 144, 174, 181, 190, 213, 214, 251, 260, 261, 264, 280, 329, 369, 399, 401, 406, 440, 458, 490, 491, 518, 617, 711, 737, 799, 808, 816, 817, 818, 918, 956, 967, 1031, 1083, 1092, 1172, 1207, 1209, 1234, 1243, 1255, 1293, 1396, 1410, 1565, 1590, 1631, 1645, 1648, 1693, 1756, 1760, 1792, 1910, 1957, 1968, 1970, 1974, 2027, 2030, 2032, 2054, 2096, 2100, 2117, 2163, 2182, 2191, 2211, 2236, 2250, 2258, 2272, 2315, 2324, 2362, 2365, 2398]"
9,2423,MIIII,"[0, 13, 17, 21, 34, 68, 104, 119, 133, 146, 173, 188, 194, 198, 252, 270, 289, 294, 306, 310, 311, 389, 426, 438, 446, 462, 477, 511, 534, 550, 561, 637, 643, 660, 666, 673, 687, 755, 758, 786, 831, 859, 878, 1012, 1045, 1086, 1096, 1100, 1104, 1130, 1136, 1185, 1220, 1230, 1256, 1295, 1319, 1348, 1355, 1370, 1419, 1452, 1470, 1481, 1503, 1522, 1541, 1649, 1650, 1668, 1694, 1707, 1708, 1711, 1743, 1767, 1774, 1802, 1821, 1886, 1897, 1923, 1952, 1961, 1963, 1994, 1999, 2050, 2068, 2072, 2165, 2168, 2172, 2173, 2186, 2213, 2235, 2237, 2252, 2253, 2256, 2335, 2404, 2425]"
10,2423,ICCCC,"[100, 1296, 1512]"
11,2423,ICCCM,[]
12,2423,ICCCI,[]
13,2423,ICCMC,[]
14,2423,ICCMM,[]
15,2423,ICCMI,[]
16,2423,ICCIC,"[229, 840, 1852, 2084]"
17,2423,ICCIM,"[1751, 1926, 2086]"
18,2423,ICCII,"[286, 582, 2111]"
19,2423,ICMCC,[]
20,2423,ICMCM,[2355]
21,2423,ICMCI,[]
22,2423,ICMMC,[]
23,2423,ICMMM,[]
24,2423,ICMMI,[]
25,2423,ICMIC,[]
26,2423,ICMIM,"[332, 836, 1103, 1314, 1851, 2073]"
27,2423,ICMII,"[186, 265, 825, 863, 937, 1082, 1102, 1159, 1227, 1484, 1537, 1959]"
28,2423,ICICC,"[712, 2194]"
29,2423,MIICC,[1726]
30,2423,MIMIM,"[390, 895, 1135, 1297, 1307, 1313, 1326, 1442]"
31,2423,MMMMM,[]
32,2423,MIMIC,"[970, 1395, 1672]"
33,2423,MMMIC,[]
34,2423,MMMIM,[595]
35,2423,MMMII,"[1646, 1881, 2181, 2204]"
36,2423,MMICC,[]
37,2423,MMICM,[]
38,2423,MMICI,[]
39,2423,MMIMC,[]
40,2423,MMIMM,[595]
41,2423,MMIMI,"[1646, 1881, 2181, 2204]"
42,2423,MMIIC,"[49, 209, 764, 1260]"
43,2423,MMIIM,"[845, 1015, 1120, 1409, 1521, 1850, 2076, 2196, 2251, 2257]"
44,2423,MMIII,"[59, 135, 388, 391, 577, 702, 703, 771, 788, 832, 1017, 1079, 1199, 1299, 1333, 1343, 1347, 1428, 1657, 1660, 1683, 1745, 2041, 2066, 2153, 2169, 2179, 2278, 2429]"
45,2423,MICCC,[]
46,2423,MICCM,[]
47,2423,MICCI,[2129]
48,2423,MICMC,[]
49,2423,MICMM,[]
50,2423,MICMI,[2419]
51,2423,MICIC,"[669, 1356, 1406]"
52,2423,MICIM,"[521, 759, 1282, 1795]"
53,2423,MICII,"[609, 1200, 1240, 1276, 1526, 1594, 1600, 1783, 1953, 2028, 2063]"
54,2423,MIMCC,[]
55,2423,MIMCM,[]
56,2423,MIMCI,[]
57,2423,MIMMC,[480]
58,2423,MIMMM,[1121]
59,2423,MIMMI,"[461, 2127]"
60,2423,ICICI,"[233, 400, 1768, 2033, 2162, 2415]"
61,2423,ICIMC,[]
62,2423,ICIMM,"[332, 836, 1103, 1314, 1851, 2073]"
63,2423,ICIMI,"[186, 265, 825, 863, 937, 1082, 1102, 1159, 1227, 1484, 1537, 1959]"
64,2423,IICCC,"[106, 258, 397, 449, 554, 574, 645, 757, 787, 1098, 1111, 1204, 1310, 1546, 1587, 1801, 2301, 2381]"
65,2423,IICCM,"[1870, 2416]"
66,2423,IICCI,"[1022, 1422, 1538, 1583, 1964, 2356]"
67,2423,IICMC,[]
68,2423,IICMM,[2345]
69,2423,IICMI,"[943, 2059]"
70,2423,IICIC,"[72, 201, 299, 300, 498, 588, 677, 685, 741, 811, 819, 848, 932, 1114, 1165, 1242, 1390, 1478, 1548, 1561, 1612, 1666, 1734, 1781, 1855, 1888, 2048, 2190, 2197, 2322, 2369, 2377, 2435]"
71,2423,IICIM,"[51, 63, 232, 235, 283, 452, 556, 558, 581, 616, 621, 629, 632, 639, 652, 653, 658, 670, 813, 853, 915, 916, 919, 999, 1003, 1034, 1038, 1059, 1066, 1075, 1095, 1123, 1190, 1208, 1231, 1441, 1497, 1514, 1552, 1581, 1614, 1619, 1736, 1858, 1869, 1919, 1962, 1987, 2047, 2056, 2061, 2077, 2114, 2150, 2189, 2217, 2270, 2282, 2295, 2359, 2411, 2421]"
72,2423,IICII,"[5, 55, 124, 126, 184, 320, 447, 482, 541, 552, 573, 576, 605, 644, 701, 723, 768, 889, 902, 945, 1076, 1108, 1119, 1304, 1315, 1317, 1318, 1349, 1416, 1472, 1529, 1623, 1669, 1674, 1678, 1695, 1703, 1761, 1920, 1997, 2013, 2015, 2045, 2328]"
73,2423,IIMCC,[]
74,2423,IIMCM,"[172, 468]"
75,2423,IIMCI,"[127, 760, 1248, 1658, 1965, 2115, 2201, 2384]"
76,2423,IIMMC,"[382, 441, 860, 955, 1147, 1273, 1399, 1615, 1837, 1867, 2109, 2170]"
77,2423,IIMMM,"[31, 113, 154, 220, 328, 374, 533, 947, 1573, 1728, 2092, 2234, 2402]"
78,2423,IIMMI,"[278, 469, 619, 975, 1069, 1586, 1673, 2014, 2023, 2126, 2185]"
79,2423,IIMIC,"[89, 102, 222, 268, 276, 293, 317, 455, 663, 724, 749, 751, 753, 804, 941, 958, 1004, 1013, 1192, 1201, 1223, 1334, 1386, 1467, 1515, 1591, 1699, 1722, 1776, 1880, 1882, 1899, 1996, 2038, 2049, 2118, 2183, 2202, 2244]"
80,2423,IIMIM,"[46, 80, 94, 95, 101, 118, 167, 202, 208, 230, 238, 242, 257, 291, 321, 344, 362, 451, 481, 509, 519, 569, 570, 596, 604, 611, 612, 614, 642, 674, 705, 710, 726, 772, 773, 815, 835, 891, 897, 957, 997, 1019, 1070, 1094, 1097, 1125, 1132, 1151, 1153, 1157, 1167, 1184, 1262, 1263, 1279, 1328, 1344, 1361, 1374, 1382, 1383, 1412, 1413, 1440, 1446, 1458, 1520, 1530, 1531, 1566, 1572, 1589, 1602, 1610, 1617, 1633, 1659, 1661, 1662, 1685, 1697, 1737, 1780, 1798, 1813, 1817, 1832, 1885, 1898, 1972, 1980, 1993, 2001, 2007, 2037, 2078, 2089, 2122, 2174, 2187, 2214, 2219, 2238, 2274, 2290, 2297, 2308, 2363, 2364, 2387]"
81,2423,IIMII,"[141, 147, 150, 160, 217, 249, 335, 383, 474, 488, 510, 542, 567, 591, 618, 624, 668, 678, 698, 754, 864, 879, 900, 910, 1028, 1037, 1073, 1081, 1193, 1285, 1375, 1543, 1584, 1639, 1654, 1670, 1680, 1735, 1819, 1827, 1856, 1871, 1887, 1895, 1944, 1947, 1967, 1978, 1985, 1998, 2051, 2097, 2101, 2147, 2296, 2319, 2327, 2331, 2400, 2408]"
82,2423,IIICC,"[176, 457, 478, 600, 654, 722, 993, 1144, 1189, 1357, 2043, 2131, 2139, 2303]"
83,2423,IIICM,"[138, 263, 330, 571, 719, 1940, 2105]"
84,2423,IIICI,"[18, 163, 185, 203, 297, 363, 372, 506, 593, 1221, 1354, 1448, 1456, 1457, 1577, 1803, 1810, 1829, 2110, 2302]"
85,2423,IIIMC,"[89, 102, 222, 268, 276, 293, 317, 455, 663, 724, 749, 751, 753, 804, 941, 958, 1004, 1013, 1192, 1201, 1223, 1334, 1386, 1467, 1515, 1591, 1699, 1722, 1776, 1880, 1882, 1899, 1996, 2038, 2049, 2118, 2183, 2202, 2244]"
86,2423,IIIMM,"[46, 80, 94, 95, 101, 118, 167, 202, 208, 230, 238, 242, 257, 291, 321, 344, 362, 451, 481, 509, 519, 569, 570, 596, 604, 611, 612, 614, 642, 674, 705, 710, 726, 772, 773, 815, 835, 891, 897, 957, 997, 1019, 1070, 1094, 1097, 1125, 1132, 1151, 1153, 1157, 1167, 1184, 1262, 1263, 1279, 1328, 1344, 1361, 1374, 1382, 1383, 1412, 1413, 1440, 1446, 1458, 1520, 1530, 1531, 1566, 1572, 1589, 1602, 1610, 1617, 1633, 1659, 1661, 1662, 1685, 1697, 1737, 1780, 1798, 1813, 1817, 1832, 1885, 1898, 1972, 1980, 1993, 2001, 2007, 2037, 2078, 2089, 2122, 2174, 2187, 2214, 2219, 2238, 2274, 2290, 2297, 2308, 2363, 2364, 2387]"
