_id,ind_word,resultat,ind_possibles
0,2434,CCCCC,[2434]
1,2434,MIMII,"[8, 28, 57, 71, 79, 178, 243, 264, 331, 380, 440, 444, 463, 521, 574, 583, 597, 616, 648, 653, 670, 677, 713, 719, 732, 790, 810, 820, 835, 853, 869, 909, 940, 956, 974, 980, 981, 983, 995, 1038, 1090, 1144, 1165, 1174, 1183, 1196, 1206, 1208, 1210, 1231, 1232, 1245, 1278, 1283, 1301, 1307, 1326, 1377, 1406, 1430, 1458, 1500, 1513, 1530, 1546, 1587, 1665, 1693, 1709, 1728, 1738, 1770, 1780, 1784, 1789, 1800, 1828, 1869, 1888, 1913, 1925, 1971, 2078, 2133, 2140, 2174, 2190, 2198, 2282, 2301, 2348, 2383, 2422]"
2,2434,MIICM,"[415, 626, 935, 1137, 2363]"
3,2434,MIICI,"[37, 46, 157, 191, 222, 382, 416, 614, 622, 705, 948, 953, 1131, 1154, 1238, 1271, 1467, 1539, 1599, 1622, 1637, 1661, 1995, 2064, 2102, 2231, 2248]"
4,2434,MIIMC,[]
5,2434,MIIMM,"[512, 530, 822, 1188, 1360, 1471, 1786, 2245, 2394]"
6,2434,MIIMI,"[35, 36, 80, 102, 136, 145, 175, 205, 239, 274, 284, 291, 298, 362, 364, 373, 376, 381, 430, 445, 470, 509, 553, 563, 585, 601, 603, 610, 625, 646, 694, 734, 743, 747, 767, 772, 785, 798, 800, 802, 841, 842, 891, 895, 950, 964, 973, 977, 984, 1005, 1033, 1094, 1105, 1222, 1226, 1275, 1292, 1327, 1362, 1391, 1410, 1485, 1509, 1525, 1605, 1630, 1663, 1697, 1698, 1752, 1763, 1813, 1839, 1850, 1864, 1880, 1883, 1892, 1980, 2031, 2149, 2154, 2155, 2164, 2188, 2205, 2220, 2233, 2241, 2266, 2274, 2275, 2290, 2307, 2321, 2396, 2399, 2409, 2412, 2418, 2427, 2431]"
7,2434,MIIIC,[]
8,2434,MIIIM,"[66, 300, 425, 441, 527, 655, 663, 664, 699, 717, 741, 795, 860, 933, 952, 996, 1034, 1067, 1078, 1092, 1167, 1218, 1293, 1395, 1446, 1468, 1480, 1521, 1597, 1631, 1636, 1659, 1747, 1776, 1823, 1859, 1921, 1927, 1946, 1969, 1986, 1987, 2039, 2082, 2135, 2187, 2195, 2197, 2308, 2369, 2382, 2393, 2416, 2421, 2439]"
9,2434,MIIII,"[32, 43, 49, 64, 67, 72, 89, 94, 97, 100, 113, 118, 128, 130, 134, 148, 154, 164, 165, 174, 177, 187, 195, 201, 209, 212, 214, 220, 229, 251, 258, 268, 276, 283, 293, 299, 304, 313, 317, 321, 343, 344, 346, 374, 390, 396, 397, 398, 406, 413, 417, 429, 434, 439, 448, 449, 451, 452, 455, 464, 473, 475, 480, 481, 490, 494, 498, 500, 520, 539, 546, 554, 556, 557, 559, 560, 565, 578, 588, 595, 604, 608, 617, 630, 640, 641, 645, 647, 654, 661, 669, 680, 685, 686, 688, 707, 708, 709, 722, 737, 745, 749, 757, 759, 787, 794, 804, 813, 816, 818, 819, 823, 828, 838, 840, 843, 848, 856, 873, 914, 915, 919, 927, 928, 930, 932, 941, 954, 957, 963, 965, 976, 990, 994, 997, 1000, 1003, 1007, 1011, 1020, 1027, 1030, 1042, 1044, 1066, 1068, 1070, 1095, 1097, 1098, 1106, 1107, 1110, 1111, 1114, 1121, 1128, 1132, 1147, 1151, 1153, 1160, 1162, 1163, 1166, 1176, 1180, 1191, 1195, 1209, 1212, 1214, 1219, 1242, 1255, 1264, 1265, 1268, 1272, 1273, 1279, 1280, 1296, 1310, 1313, 1314, 1345, 1356, 1357, 1365, 1368, 1374, 1385, 1388, 1390, 1396, 1397, 1399, 1405, 1412, 1413, 1421, 1432, 1435, 1440, 1441, 1442, 1462, 1463, 1478, 1482, 1486, 1505, 1506, 1507, 1512, 1515, 1518, 1520, 1527, 1531, 1532, 1548, 1549, 1551, 1555, 1558, 1561, 1569, 1572, 1574, 1589, 1601, 1604, 1606, 1608, 1610, 1612, 1615, 1617, 1619, 1621, 1633, 1635, 1643, 1648, 1651, 1655, 1666, 1672, 1677, 1679, 1684, 1686, 1688, 1699, 1710, 1717, 1722, 1727, 1734, 1736, 1739, 1744, 1748, 1759, 1771, 1772, 1781, 1792, 1793, 1795, 1798, 1801, 1812, 1835, 1836, 1837, 1851, 1852, 1855, 1858, 1861, 1867, 1870, 1875, 1879, 1882, 1909, 1915, 1919, 1922, 1928, 1940, 1941, 1950, 1955, 1962, 1968, 1970, 1990, 1992, 2001, 2009, 2018, 2030, 2032, 2037, 2040, 2048, 2049, 2061, 2073, 2076, 2077, 2084, 2086, 2092, 2093, 2095, 2103, 2105, 2107, 2109, 2116, 2117, 2118, 2119, 2121, 2125, 2131, 2150, 2176, 2182, 2194, 2202, 2207, 2217, 2223, 2232, 2234, 2236, 2244, 2249, 2251, 2257, 2262, 2263, 2273, 2279, 2311, 2314, 2315, 2316, 2320, 2322, 2346, 2352, 2355, 2359, 2364, 2367, 2375, 2381, 2385, 2391, 2410, 2411, 2413, 2423, 2424, 2435]"
