_id,ind_word,resultat,ind_possibles
0,2232,CCCCC,[2232]
1,2232,MIMII,"[186, 233, 265, 386, 400, 850, 863, 911, 937, 1082, 1102, 1227, 1305, 1455, 1537, 1556, 1571, 1768, 1815, 1959, 2033, 2162, 2181, 2204, 2340, 2380, 2415]"
2,2232,MIICM,"[1385, 1507, 1716, 2005]"
3,2232,MIICI,"[65, 105, 171, 314, 345, 361, 378, 460, 479, 515, 592, 933, 1006, 1071, 1128, 1171, 1180, 1286, 1290, 1379, 1719, 2057, 2136, 2249, 2368]"
4,2232,MIIMC,"[37, 125, 140, 626, 823, 845, 944, 1120, 1176, 1409, 1462, 1534, 1663, 2076, 2119, 2196]"
5,2232,MIIMM,"[70, 134, 175, 210, 239, 640, 686, 928, 930, 938, 1005, 1054, 1112, 1116, 1156, 1160, 1214, 1365, 1426, 1479, 1523, 1549, 1601, 1682, 1762, 1812, 2143, 2177, 2223, 2321, 2431]"
6,2232,MIIMI,"[24, 40, 49, 97, 122, 149, 191, 209, 303, 371, 407, 415, 428, 459, 483, 505, 524, 539, 622, 628, 630, 699, 734, 748, 764, 767, 785, 795, 828, 871, 935, 949, 953, 959, 996, 1000, 1015, 1051, 1137, 1149, 1177, 1205, 1213, 1218, 1264, 1275, 1283, 1311, 1341, 1372, 1430, 1431, 1521, 1596, 1637, 1710, 1712, 1720, 1731, 1754, 1765, 1772, 1835, 1846, 1850, 1861, 1878, 1879, 1925, 1938, 1945, 1946, 1981, 2002, 2018, 2039, 2044, 2064, 2103, 2121, 2158, 2199, 2212, 2248, 2251, 2255, 2257, 2262, 2265, 2309, 2314, 2334, 2347, 2371, 2375, 2399, 2432]"
7,2232,MIIIC,"[143, 153, 269, 275, 339, 347, 388, 454, 492, 657, 782, 857, 858, 992, 1139, 1158, 1269, 1322, 1683, 1745, 1764, 1841, 1890, 1924, 1934, 2036, 2112, 2141, 2153, 2281, 2305, 2317]"
8,2232,MIIIM,"[59, 85, 88, 109, 135, 277, 456, 517, 693, 762, 833, 839, 1017, 1046, 1333, 1343, 1347, 1353, 1428, 1429, 1588, 1626, 1632, 1733, 1901, 2004, 2041, 2055, 2066, 2124, 2169, 2269, 2386, 2390, 2401]"
9,2232,MIIII,"[3, 20, 25, 39, 69, 76, 82, 91, 129, 207, 225, 228, 244, 266, 287, 319, 349, 365, 384, 391, 403, 495, 529, 535, 538, 577, 580, 633, 702, 703, 715, 716, 728, 731, 742, 750, 771, 775, 788, 791, 792, 796, 805, 832, 844, 865, 867, 868, 929, 982, 1002, 1021, 1079, 1080, 1084, 1087, 1109, 1115, 1129, 1143, 1168, 1186, 1199, 1239, 1241, 1266, 1274, 1299, 1323, 1351, 1389, 1425, 1445, 1451, 1454, 1475, 1508, 1535, 1540, 1542, 1544, 1578, 1592, 1627, 1629, 1657, 1660, 1681, 1725, 1729, 1732, 1749, 1778, 1782, 1785, 1816, 1853, 1854, 1949, 1954, 2000, 2020, 2053, 2099, 2120, 2123, 2138, 2179, 2180, 2184, 2221, 2278, 2284, 2318, 2336, 2344, 2350, 2358, 2429]"
10,2232,ICCCC,[]
11,2232,ICCCM,[]
12,2232,ICCCI,[]
13,2232,ICCMC,[]
14,2232,ICCMM,[]
15,2232,ICCMI,[2345]
16,2232,ICCIC,[943]
17,2232,ICCIM,[]
18,2232,ICCII,[2059]
19,2232,ICMCC,[]
20,2232,ICMCM,[]
21,2232,ICMCI,[533]
22,2232,ICMMC,[1121]
23,2232,ICMMM,"[220, 1615]"
24,2232,ICMMI,"[31, 154, 374, 382, 441, 480, 860, 947, 955, 1147, 1273, 1399, 1573, 1837, 1867, 2092, 2109, 2170, 2402]"
25,2232,ICMIC,[461]
26,2232,ICMIM,[]
27,2232,ICMII,"[278, 469, 619, 975, 1069, 1586, 1673, 2014, 2023, 2126, 2127]"
28,2232,ICICC,"[726, 1566]"
29,2232,MIICC,"[422, 856, 991, 1007, 1068, 1163, 1368, 1423]"
30,2232,MIMIM,"[825, 1159, 1484, 1881]"
31,2232,MMMMM,[]
32,2232,MIMIC,[526]
33,2232,MMMIC,[]
34,2232,MMMIM,[1517]
35,2232,MMMII,[1063]
36,2232,MMICC,[]
37,2232,MMICM,[]
38,2232,MMICI,"[66, 332, 423, 836, 1103, 1314, 1851, 2073]"
39,2232,MMIMC,[333]
40,2232,MMIMM,"[64, 820, 954, 1030]"
41,2232,MMIMI,"[708, 712, 952, 1346, 1558, 1608, 1635, 1643, 1789, 1915, 2095, 2140, 2194, 2410]"
42,2232,MMIIC,[526]
43,2232,MMIIM,"[825, 1159, 1484, 1881]"
44,2232,MMIII,"[186, 233, 265, 386, 400, 850, 863, 911, 937, 1082, 1102, 1227, 1305, 1455, 1537, 1556, 1571, 1768, 1815, 1959, 2033, 2162, 2181, 2204, 2340, 2380, 2415]"
45,2232,MICCC,[2086]
46,2232,MICCM,[]
47,2232,MICCI,"[177, 909, 1926]"
48,2232,MICMC,[187]
49,2232,MICMM,"[840, 1482, 1744]"
50,2232,MICMI,"[229, 688, 745, 1166, 1751, 1852, 2084]"
51,2232,MICIC,"[766, 1547, 2111]"
52,2232,MICIM,[286]
53,2232,MICII,"[166, 582, 1443, 1607, 1862, 2428]"
54,2232,MIMCC,[]
55,2232,MIMCM,[]
56,2232,MIMCI,"[66, 332, 423, 836, 1103, 1314, 1851, 2073]"
57,2232,MIMMC,[333]
58,2232,MIMMM,"[64, 820, 954, 1030]"
59,2232,MIMMI,"[708, 712, 952, 1346, 1558, 1608, 1635, 1643, 1789, 1915, 2095, 2140, 2194, 2410]"
60,2232,ICICI,"[95, 1125, 1520]"
61,2232,ICIMC,[1661]
62,2232,ICIMM,"[317, 612, 749, 1004, 1201, 1440]"
