_id,ind_word,resultat,ind_possibles
0,2411,CCCCC,[2411]
1,2411,MIMII,"[506, 523, 668, 850, 1073, 1193, 1584]"
2,2411,MIICM,[1352]
3,2411,MIICI,"[120, 790, 1336, 1492, 2338]"
4,2411,MIIMC,[]
5,2411,MIIMM,"[680, 930, 1010, 1228, 1278, 1582, 1651, 2088, 2093]"
6,2411,MIIMI,"[371, 539, 651, 767, 779, 869, 1058, 1124, 1162, 1210, 1883, 1946, 2207, 2212, 2347]"
7,2411,MIIIC,"[492, 985, 1047, 1563]"
8,2411,MIIIM,"[200, 615, 649, 1150, 1715, 1750, 1948, 2246]"
9,2411,MIIII,"[152, 310, 349, 424, 472, 536, 689, 923, 1109, 1168, 1194, 1266, 1294, 1342, 1593, 1822, 1833, 1900, 1937, 2000, 2053, 2353]"
10,2411,ICCCC,"[647, 1095]"
11,2411,ICCCM,[1614]
12,2411,ICCCI,"[177, 621, 1453, 2150, 2189]"
13,2411,ICCMC,[]
14,2411,ICCMM,"[201, 300, 554, 2322]"
15,2411,ICCMI,"[299, 397, 449, 498, 557, 588, 645, 685, 745, 848, 932, 1111, 1356, 1390, 1478, 1532, 1548, 1561, 1666, 1734, 1801, 2048]"
16,2411,ICCIC,"[187, 1038, 1497, 1736]"
17,2411,ICCIM,"[1231, 1482, 1795, 2077, 2217, 2282]"
18,2411,ICCII,"[51, 63, 235, 283, 452, 521, 556, 653, 670, 688, 838, 915, 919, 983, 1003, 1034, 1066, 1166, 1301, 1405, 1441, 1794, 1870, 1919, 1962, 1987, 2047, 2061, 2114, 2320, 2416, 2421]"
19,2411,ICMCC,[2001]
20,2411,ICMCM,"[481, 1094, 1132]"
21,2411,ICMCI,"[291, 362, 390, 451, 509, 772, 773, 891, 895, 1097, 1153, 1157, 1442, 1572, 2135, 2187, 2219]"
22,2411,ICMMC,[]
23,2411,ICMMM,[64]
24,2411,ICMMI,"[457, 708, 724, 1608, 1643, 1880, 2303, 2410]"
25,2411,ICMIC,[]
26,2411,ICMIM,"[1030, 1413, 1531]"
27,2411,ICMII,"[118, 571, 604, 611, 719, 952, 1070, 1263, 1297, 1326, 1558, 1617, 1635, 1697, 1789, 2007, 2095, 2105, 2140, 2174, 2234, 2297, 2422]"
28,2411,ICICC,"[370, 502, 572, 842, 976, 1401, 1603, 1621, 1748, 2082, 2367]"
29,2411,MIICC,"[559, 2273]"
30,2411,MIMIM,[]
31,2411,MMMMM,[]
32,2411,MIMIC,[]
33,2411,MMMIC,[]
34,2411,MMMIM,[]
35,2411,MMMII,[1798]
36,2411,MMICC,[]
37,2411,MMICM,[]
38,2411,MMICI,[]
39,2411,MMIMC,[]
40,2411,MMIMM,[]
41,2411,MMIMI,[]
42,2411,MMIIC,[]
43,2411,MMIIM,"[680, 930, 1010, 1228, 1278, 1582, 1651, 2088, 2093]"
