_id,ind_word,resultat,ind_possibles
0,2438,CCCCC,[2438]
1,2438,MIMII,[]
2,2438,MIICM,[]
3,2438,MIICI,[]
4,2438,MIIMC,[]
5,2438,MIIMM,[]
6,2438,MIIMI,[2293]
7,2438,MIIIC,[2351]
8,2438,MIIIM,[1686]
9,2438,MIIII,"[359, 551, 670, 983, 1116, 2114, 2162, 2376, 2386]"
10,2438,ICCCC,[]
11,2438,ICCCM,[]
12,2438,ICCCI,"[398, 439, 1170, 1640]"
13,2438,ICCMC,[]
14,2438,ICCMM,[]
15,2438,ICCMI,[]
16,2438,ICCIC,[161]
17,2438,ICCIM,"[504, 886, 1212, 2286]"
18,2438,ICCII,"[17, 169, 794, 818, 1239, 1300, 1305, 1499, 1692, 1713, 1730, 1999, 2091]"
19,2438,ICMCC,[]
20,2438,ICMCM,[]
21,2438,ICMCI,[]
22,2438,ICMMC,[]
23,2438,ICMMM,[510]
24,2438,ICMMI,[363]
25,2438,ICMIC,[1937]
26,2438,ICMIM,"[41, 85, 1122, 1342, 1402, 1911, 2207]"
27,2438,ICMII,"[22, 82, 101, 147, 166, 216, 226, 290, 381, 412, 438, 464, 482, 555, 655, 661, 669, 692, 757, 768, 858, 911, 1002, 1127, 1169, 1190, 1270, 1309, 1329, 1374, 1612, 1708, 1743, 1758, 1963, 1984, 2071, 2113, 2129, 2175, 2192, 2246, 2296, 2328, 2356, 2397, 2400, 2409]"
28,2438,ICICC,[]
29,2438,MIICC,[]
30,2438,MIMIM,[1065]
31,2438,MMMMM,[]
32,2438,MIMIC,[]
33,2438,MMMIC,[]
34,2438,MMMIM,[]
35,2438,MMMII,[]
36,2438,MMICC,[]
37,2438,MMICM,[]
38,2438,MMICI,[]
39,2438,MMIMC,[]
40,2438,MMIMM,[]
41,2438,MMIMI,[]
42,2438,MMIIC,[]
43,2438,MMIIM,[]
44,2438,MMIII,[]
45,2438,MICCC,[]
46,2438,MICCM,[]
47,2438,MICCI,[]
48,2438,MICMC,[]
49,2438,MICMM,[]
50,2438,MICMI,[]
51,2438,MICIC,[]
52,2438,MICIM,[]
53,2438,MICII,[]
54,2438,MIMCC,[]
55,2438,MIMCM,[]
56,2438,MIMCI,[]
57,2438,MIMMC,[]
58,2438,MIMMM,[]
59,2438,MIMMI,[]
60,2438,ICICI,"[484, 1868]"
61,2438,ICIMC,"[615, 931, 1477, 1498, 2263]"
62,2438,ICIMM,"[204, 273, 1131, 1486, 1527, 1669, 1703, 1787, 1884, 1889, 1895, 1920, 1969, 2015, 2287, 2339]"
63,2438,ICIMI,"[12, 18, 45, 163, 185, 305, 417, 541, 654, 700, 714, 781, 971, 978, 1063, 1098, 1106, 1189, 1197, 1357, 1461, 1491, 1494, 1519, 1651, 1656, 1755, 1824, 1902, 2009, 2020, 2037, 2200, 2229, 2338, 2364, 2417]"
64,2438,IICCC,[]
65,2438,IICCM,"[1107, 1576, 1944]"
66,2438,IICCI,"[8, 1264, 1480, 1945, 2346, 2424]"
67,2438,IICMC,[]
68,2438,IICMM,[]
69,2438,IICMI,[]
70,2438,IICIC,"[215, 546]"
71,2438,IICIM,"[159, 160, 265, 275, 540, 564, 802, 997, 1152, 1337, 1393, 1398, 1445, 1463, 1699, 1845, 1857, 1865, 1985, 2024, 2160, 2169, 2315, 2405]"
72,2438,IICII,"[13, 173, 180, 370, 378, 385, 515, 522, 575, 664, 867, 960, 968, 1035, 1068, 1084, 1102, 1157, 1159, 1178, 1254, 1274, 1351, 1376, 1377, 1462, 1483, 1562, 1572, 1578, 1652, 1706, 1770, 1771, 1816, 1835, 1864, 1875, 1914, 1957, 2018, 2179, 2249, 2257, 2340, 2350, 2368]"
73,2438,IIMCC,[]
74,2438,IIMCM,[]
75,2438,IIMCI,"[653, 1935]"
76,2438,IIMMC,[]
77,2438,IIMMM,"[245, 2439]"
78,2438,IIMMI,"[782, 848, 913, 1090, 1217, 1394, 1632, 1657, 2310]"
79,2438,IIMIC,"[253, 263, 392, 929, 1039, 1182, 1593, 1648, 1950, 1962, 2031, 2055, 2092, 2150, 2375, 2390]"
80,2438,IIMIM,"[19, 43, 53, 58, 148, 153, 155, 168, 195, 197, 218, 250, 268, 318, 320, 343, 384, 425, 466, 490, 610, 631, 665, 717, 759, 762, 787, 790, 841, 865, 884, 914, 921, 926, 982, 1012, 1025, 1049, 1093, 1118, 1141, 1219, 1238, 1273, 1287, 1304, 1414, 1564, 1668, 1679, 1739, 2000, 2051, 2063, 2087, 2094, 2099, 2102, 2133, 2305, 2392]"
81,2438,IIMII,"[32, 34, 54, 73, 81, 108, 123, 138, 140, 183, 205, 223, 236, 269, 276, 279, 287, 299, 350, 355, 374, 391, 393, 402, 418, 428, 479, 562, 607, 645, 646, 685, 704, 735, 744, 761, 777, 785, 796, 836, 837, 840, 842, 874, 912, 932, 939, 956, 993, 1007, 1033, 1042, 1055, 1064, 1076, 1160, 1166, 1186, 1231, 1232, 1278, 1283, 1311, 1356, 1362, 1369, 1406, 1470, 1496, 1599, 1618, 1636, 1643, 1645, 1682, 1720, 1731, 1861, 1867, 1869, 1926, 1931, 1979, 1981, 2017, 2052, 2086, 2088, 2167, 2216, 2228, 2322, 2383, 2399]"
82,2438,IIICC,"[1052, 1179, 1729, 2283]"
83,2438,IIICM,"[194, 517]"
84,2438,IIICI,"[182, 340, 898, 938, 1390, 1687, 1741, 2385]"
85,2438,IIIMC,"[240, 1782]"
86,2438,IIIMM,"[238, 251, 410, 413, 420, 474, 489, 527, 565, 604, 707, 728, 752, 808, 897, 987, 998, 1020, 1070, 1162, 1193, 1218, 1225, 1248, 1276, 1451, 1518, 1591, 1764, 1772, 1820, 1832, 1876, 1928, 1934, 1959, 1993, 1998, 2010, 2029, 2039, 2043, 2125, 2185, 2231, 2234, 2248, 2272, 2281, 2314, 2318, 2327, 2379, 2421]"
87,2438,IIIMI,"[6, 23, 36, 46, 48, 74, 88, 129, 261, 280, 297, 302, 327, 329, 354, 366, 409, 444, 451, 454, 460, 494, 501, 507, 537, 553, 572, 587, 601, 608, 618, 703, 712, 713, 719, 764, 772, 811, 816, 823, 828, 862, 875, 952, 958, 1019, 1128, 1132, 1139, 1158, 1173, 1176, 1252, 1262, 1268, 1308, 1314, 1322, 1341, 1368, 1397, 1403, 1442, 1456, 1474, 1552, 1558, 1561, 1566, 1571, 1608, 1611, 1646, 1709, 1748, 1768, 1801, 1831, 1850, 1851, 1989, 2033, 2048, 2119, 2123, 2138, 2174, 2188, 2212, 2223, 2244, 2280, 2374, 2422, 2431, 2436]"
